Species,Estimate,pvalue,padj,highlight
Bifidobacterium adolescentis,0.10273962,5.22E-06,0.000882179,4
Parabacteroides goldsteinii,0.61178065,1.29E-05,0.001091841,4
Faecalibacterium prausnitzii,-0.05063703,0.000208271,0.011732611,3
Lactobacillus mucosae,0.99021912,0.000401963,0.016982941,3
Sutterella parvirubra,2.21693333,0.001557715,0.052650767,
Escherichia coli,0.026962278,0.003785667,0.106629621,3
Ruminococcus lactaris,-0.3812467,0.005165447,0.124708649,
Alistipes onderdonkii,0.03715679,0.007467733,0.15775586,3
Dorea formicigenerans,-0.62779901,0.02556562,0.432058978,
Bacteroides fragilis,0.028771342,0.02998428,0.448832313,
Prevotella copri,-0.009743967,0.03186975,0.448832313,
Eubacterium eligens,-0.064817028,0.04044394,0.457173247,
Coprococcus sp ART55 1,-0.188407401,0.0444342,0.457173247,
Roseburia inulinivorans,-0.0644162,0.04569309,0.457173247,3
Bacteroides caccae,0.03591364,0.04709662,0.457173247,3
Lactobacillus reuteri,1.38748094,0.04870884,0.457173247,
Eubacterium rectale,-0.03357203,0.05097897,0.457173247,
Bifidobacterium longum,0.07399569,0.05264024,0.457173247,
Ruminococcus obeum,-0.41544788,0.05680666,0.457173247,
Bacteroides plebeius,-0.029037503,0.05680851,0.457173247,
Lactobacillus ruminis,-0.8963805,0.06023146,0.462687125,
Bacteroides coprophilus,-0.06968608,0.06306655,0.463402041,
Alistipes finegoldii,0.251047387,0.06819329,0.480194417,
Adlercreutzia equolifaciens,-2.22136129,0.07322221,0.49059309,
Coprococcus comes,-0.42889904,0.07547586,0.49059309,
Burkholderiales bacterium 1 1 47,-0.509594888,0.07908859,0.493405582,
Parabacteroides merdae,0.065860777,0.08177602,0.493405582,
Bacteroides thetaiotaomicron,0.027499527,0.08466723,0.493405582,
Lachnospiraceae bacterium 1 1 57FAA,-0.1295174,0.1021222,0.575288393,
Methanobrevibacter smithii,0.29839457,0.1138308,0.619992872,
Bacteroides coprocola,-0.03496057,0.1173951,0.619992872,
Megamonas funiformis,-0.52086202,0.1243625,0.621849418,
Bacteroides sp 3 2 5,0.08175848,0.1251058,0.621849418,
Megamonas rupellensis,-0.09976114,0.1304312,0.624789714,
Ruminococcus bromii,-0.03823646,0.1330913,0.624789714,
Eubacterium biforme,-0.19925045,0.1397966,0.632725538,
Parasutterella excrementihominis,-0.456969286,0.1470587,0.632725538,
Alistipes putredinis,0.017436236,0.149994,0.632725538,
Parabacteroides distasonis,0.04115874,0.1553525,0.632725538,
Oscillibacter sp KLE 1745,-0.66398796,0.1555427,0.632725538,
Roseburia hominis,-0.1156876,0.1572454,0.632725538,
Roseburia intestinalis,-0.047278604,0.1713431,0.67341823,
Dialister succinatiphilus,-0.076946026,0.1757615,0.675083943,
Ruminococcus sp 5 1 39BFAA,-0.115671127,0.1936513,0.711721319,
Alistipes shahii,0.0304312,0.1949929,0.711721319,
Bilophila wadsworthia,-1.24749198,0.1985041,0.711721319,
Clostridium bolteae,0.22563619,0.2021457,0.711721319,
Lachnospiraceae bacterium 7 1 58FAA,-0.72284489,0.2064673,0.712101504,
Veillonella atypica,-0.324916921,0.2341937,0.791574706,
Collinsella tanakaei,-0.4955471,0.2534199,0.82927,
Paraprevotella xylaniphila,-0.22181705,0.25516,0.82927,
Lachnospiraceae bacterium 8 1 57FAA,-0.33550635,0.2688674,0.849418609,
Odoribacter laneus,0.06883574,0.2734762,0.849418609,
Megasphaera elsdenii,-0.525813169,0.2812455,0.849418609,
Prevotella buccae,-0.314009418,0.2842054,0.849418609,
Ruminococcus callidus,-0.18035149,0.2864903,0.849418609,
Dorea longicatena,-0.23763801,0.3044186,0.884405358,
Lachnospiraceae bacterium 2 1 58FAA,-0.236637711,0.3087569,0.884405358,
Weissella confusa,1.34385223,0.3184062,0.890424152,
Ruminococcus gnavus,-0.049009124,0.3213957,0.890424152,
Akkermansia muciniphila,0.01936011,0.3367443,0.895799608,
Odoribacter splanchnicus,0.08888123,0.3389764,0.895799608,
Streptococcus infantarius,0.74809023,0.3395711,0.895799608,
Coprococcus catus,0.86492789,0.3489787,0.895799608,
Eubacterium ventriosum,-0.090548516,0.3498389,0.895799608,
Clostridium symbiosum,-0.29090242,0.3554852,0.896671624,
Butyrivibrio crossotus,-0.68385338,0.3696513,0.915074401,
Megamonas hypermegale,-0.04278786,0.377131,0.915074401,
Prevotella stercorea,-0.009678096,0.3790249,0.915074401,
Clostridium bartlettii,-0.646699196,0.3871116,0.917829118,
Flavonifractor plautii,-0.2285153,0.3944514,0.917829118,
Clostridium perfringens,0.92843274,0.4189858,0.917829118,
Lactobacillus fermentum,0.28111191,0.4235316,0.917829118,
Bifidobacterium breve,-0.044568611,0.424258,0.917829118,
Bacteroides barnesiae,-0.50864101,0.4334436,0.917829118,
Bacteroides dorei,-0.009126453,0.4373594,0.917829118,
Fusobacterium varium,0.29527509,0.4429999,0.917829118,
Bacteroides sp 4 3 47FAA,0.04538395,0.4502957,0.917829118,
Ruminococcus torques,-0.03067485,0.4572669,0.917829118,
Collinsella aerofaciens,0.08843764,0.4861495,0.917829118,
Lachnospiraceae bacterium 3 1 46FAA,-0.29896191,0.4891387,0.917829118,
Anaerostipes hadrus,0.71847423,0.5055959,0.917829118,
Mitsuokella multacida,-0.02458809,0.5100657,0.917829118,
Bacteroides faecis,0.0995864,0.5114255,0.917829118,
Bifidobacterium pseudocatenulatum,-0.03517828,0.514244,0.917829118,
Phascolarctobacterium succinatutens,0.05414849,0.5157327,0.917829118,
Alistipes senegalensis,0.22754119,0.5241832,0.917829118,
Klebsiella oxytoca,0.36229218,0.5258709,0.917829118,
Collinsella intestinalis,-0.62488986,0.528202,0.917829118,
Bacteroides eggerthii,0.00881763,0.528678,0.917829118,
Barnesiella intestinihominis,-0.03077008,0.5368552,0.917829118,
Bacteroides vulgatus,0.007960029,0.5464586,0.917829118,
Veillonella dispar,-0.31190982,0.5491669,0.917829118,
Subdoligranulum sp 4 3 54A2FAA,-0.18729096,0.5501035,0.917829118,
Bifidobacterium catenulatum,-0.17860466,0.5675679,0.917829118,
Lactobacillus crispatus,-0.11866458,0.5709257,0.917829118,
Lachnospiraceae bacterium 5 1 63FAA,-0.10906731,0.5724546,0.917829118,
Fusobacterium ulcerans,0.220804997,0.5774562,0.917829118,
Clostridium sp L2 50,-0.06729957,0.5801962,0.917829118,
Bacteroides intestinalis,-0.04772714,0.5804443,0.917829118,
Megasphaera micronuciformis,-0.21470397,0.5831232,0.917829118,
Sutterella wadsworthensis,-0.02293857,0.5831467,0.917829118,
Lachnospiraceae bacterium 3 1 57FAA CT1,0.22539137,0.5848193,0.917829118,
Bacteroides clarus,0.02529063,0.5888834,0.917829118,
Bacteroides xylanisolvens,0.02766092,0.5943776,0.917829118,
Oxalobacter formigenes,-0.45875447,0.6033355,0.917829118,
Eubacterium hallii,0.16148578,0.6051411,0.917829118,
Eubacterium limosum,-2.63561025,0.6075419,0.917829118,
Coprobacter fastidiosus,0.14616579,0.6086947,0.917829118,
Citrobacter freundii,-0.27588001,0.6257099,0.917829118,
Veillonella parvula,0.04524576,0.6262512,0.917829118,
Streptococcus salivarius,-0.02228552,0.6280188,0.917829118,
Clostridium asparagiforme,0.10335959,0.632551,0.917829118,
Blautia producta,-0.11405813,0.6387224,0.917829118,
Enterobacter aerogenes,-0.17899793,0.6392438,0.917829118,
Catenibacterium mitsuokai,0.19110081,0.6408511,0.917829118,
Pyramidobacter piscolens,0.06120391,0.6513304,0.923868041,
Streptococcus pasteurianus,0.46748932,0.6627622,0.923868041,
Vibrio phage pYD38 A,0.006662794,0.6673374,0.923868041,
Fusobacterium mortiferum,-0.05978574,0.6709077,0.923868041,
Clostridium clostridioforme,0.08099623,0.672401,0.923868041,
Streptococcus parasanguinis,-0.04765126,0.6840995,0.929962925,
Bacteroides nordii,0.34160065,0.6878424,0.929962925,
Lactobacillus salivarius,-0.02780514,0.7014369,0.937593397,
Lactobacillus vaginalis,-0.4299555,0.7114342,0.937593397,
Bacteroides salyersiae,0.02945387,0.7147826,0.937593397,
Bacteroides cellulosilyticus,0.01370382,0.7156778,0.937593397,
Bacteroides stercoris,-0.003035795,0.7232777,0.94026101,
Streptococcus anginosus,-0.10778177,0.7475714,0.941125619,
Paraprevotella clara,-0.0842063,0.7602416,0.941125619,
Clostridium sp ATCC BAA 442,-0.09093666,0.760732,0.941125619,
Ruminococcaceae bacterium D16,-0.16193934,0.7622618,0.941125619,
Lachnospiraceae bacterium 2 1 46FAA,-0.19244111,0.7648301,0.941125619,
Weissella cibaria,-0.30110106,0.7718106,0.941125619,
Clostridiales bacterium 1 7 47FAA,-0.02557917,0.7728652,0.941125619,
Eubacterium cylindroides,-0.18378772,0.7737345,0.941125619,
Desulfovibrio piger,0.14421394,0.7740619,0.941125619,
Dialister invisus,-0.02455404,0.7844414,0.946463346,
Coprococcus eutactus,0.18010462,0.7900758,0.946463346,
Klebsiella pneumoniae,-0.00808821,0.7978963,0.946463346,
Streptococcus gallolyticus,0.21704483,0.8109879,0.946463346,
Bacteroides finegoldii,0.01175064,0.8136718,0.946463346,
Eubacterium siraeum,-0.01292713,0.818646,0.946463346,
Bacteroides massiliensis,0.004071201,0.8220805,0.946463346,
Enterobacter cloacae,-0.03148023,0.8232551,0.946463346,
Alistipes sp AP11,0.0206244,0.839333,0.958427547,
Lachnospiraceae bacterium 1 4 56FAA,0.257473573,0.8511387,0.961481222,
Bacteroides uniformis,0.002166395,0.8533857,0.961481222,
Coriobacteriaceae bacterium phI,-0.05747941,0.8807451,0.964557277,
Parabacteroides johnsonii,-0.01997946,0.8993989,0.964557277,
Bifidobacterium dentium,-0.03858383,0.8997935,0.964557277,
Bacteroides ovatus,0.0011793,0.9040437,0.964557277,
Lactobacillus gasseri,0.07187317,0.9059873,0.964557277,
Enterobacter hormaechei,0.09302879,0.9132467,0.964557277,
Streptococcus vestibularis,-0.02919306,0.918094,0.964557277,
Klebsiella phage KP36,-0.000972289,0.9195766,0.964557277,
Bacteroidales bacterium ph8,0.002476337,0.9200552,0.964557277,
Clostridium nexile,0.005879751,0.9208733,0.964557277,
Alistipes indistinctus,0.008738315,0.9219185,0.964557277,
Clostridium leptum,0.02539887,0.9246052,0.964557277,
Lactobacillus delbrueckii,-0.04829953,0.9366592,0.971137453,
Desulfovibrio desulfuricans,-0.03642698,0.9573741,0.986562335,
Bacteroides sp 2 1 22,0.002782157,0.9736761,0.994704727,
Haemophilus parainfluenzae,-0.001875559,0.9786045,0.994704727,
Bifidobacterium bifidum,0.001838886,0.9850785,0.994704727,
Clostridium hathewayi,0.00265827,0.9888189,0.994704727,
Alistipes sp HGB5,0.000221673,0.9992348,0.9992348,
