sample	ID	meancov	Completeness	Contamination	CheckMStatus	Size	#Contigs	Contig_N50	Longest_contig	16S_rRNA	23S_rRNA	5S_rRNA	tRNAKind	tRNAUniqueStrict	pass.GUNC	RNAPASS	MIMAG
MBE033	MBE033.bin.1.fa	25.42120122769638	65.22	4.22	MEDIUM	1598115	229	8060	39103	0	0	1	bact	10.0	True	False	MEDIUM
MBE033	MBE033.bin.10.fa	41.45526899891606	97.44	108.54	LOW	9959055	751	21797	128991	0	0	0	bact	18.0	True	False	LOW
MBE033	MBE033.bin.11.fa	235.5314290038504	24.4	0.36	LOW	779662	22	70271	104141	0	0	0	bact	12.0	True	False	LOW
MBE033	MBE033.bin.12.fa	9.302192616709029	11.02	0.01	LOW	400526	114	3353	9330	0	0	0	bact	4.0	True	False	LOW
MBE033	MBE033.bin.13.fa	17.26740371588659	65.94	5.94	MEDIUM	1788483	327	6122	22338	0	0	0	bact	9.0	True	False	MEDIUM
MBE033	MBE033.bin.14.fa	15.040319554922364	86.61	0.78	MEDIUM	1537889	247	6913	49025	0	0	0	bact	12.0	True	False	MEDIUM
MBE033	MBE033.bin.15.fa	16.821949999132332	71.63	4.84	MEDIUM	2074524	372	6043	35978	0	0	2	bact	5.0	True	False	MEDIUM
MBE033	MBE033.bin.16.fa	13.591440368112124	64.69	1.29	MEDIUM	1151171	263	4531	14974	0	0	0	arch	11.0	False	False	MEDIUM
MBE033	MBE033.bin.17.fa	23.970099815857434	11.62	0.01	LOW	358961	29	18498	32668	0	0	0	bact	4.0	False	False	LOW
MBE033	MBE033.bin.18.fa	8.839417401092716	13.27	0.0	LOW	364230	104	3388	9351	0	0	0	bact	0.0	True	False	LOW
MBE033	MBE033.bin.19.fa	118.06640519137132	84.56	3.28	MEDIUM	1999934	182	15311	67858	0	0	1	bact	19.0	True	False	MEDIUM
MBE033	MBE033.bin.2.fa	13.304369727488046	62.61	1.92	MEDIUM	1671523	320	5652	19821	0	0	0	bact	5.0	False	False	MEDIUM
MBE033	MBE033.bin.20.fa	36.57792114950818	98.58	3.86	HIGH	4770040	237	30893	139354	0	0	3	bact	18.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.21.fa	117.39957743628314	98.06	1.64	HIGH	2159201	31	182423	290105	0	0	1	bact	17.0	True	False	NEARCOMPLETE
MBE033	MBE033.bin.22.fa	10.126457925668555	33.22	4.44	LOW	1202479	331	3618	9257	0	0	0	bact	2.0	True	False	LOW
MBE033	MBE033.bin.23.fa	10.609195289129126	21.57	0.09	LOW	609399	161	3752	10534	0	0	0	bact	2.0	True	False	LOW
MBE033	MBE033.bin.24.fa	11.28852900198072	39.44	0.02	LOW	902197	202	4633	13918	0	0	0	bact	2.0	True	False	LOW
MBE033	MBE033.bin.25.fa	11.80782175619059	55.0	3.72	MEDIUM	1504905	282	5727	21974	0	0	0	bact	7.0	False	False	MEDIUM
MBE033	MBE033.bin.26.fa	12.341435774541903	52.01	0.44	MEDIUM	1323634	259	5362	19017	0	0	0	bact	12.0	True	False	MEDIUM
MBE033	MBE033.bin.27.fa	13.362089157992854	73.38	0.1	MEDIUM	1698311	344	5334	24953	0	0	0	bact	13.0	False	False	MEDIUM
