Species,Estimate,pvalue,padj,highlight
Klebsiella pneumoniae,-0.45882464,0.002085708,0.352484652,4
Parasutterella excrementihominis,8.87E+00,0.02265924,0.987454812,
Bacteroides coprocola,3.43E-01,0.03375441,0.987454812,
Parabacteroides johnsonii,-1.15E+00,0.09209323,0.987454812,
Lactobacillus ruminis,3.54E+00,0.09902719,0.987454812,
Eubacterium eligens,-0.836683411,0.1099397,0.987454812,
Bacteroidales bacterium ph8,0.149165068,0.1104133,0.987454812,
Megamonas rupellensis,3.06E+00,0.1199734,0.987454812,
Alistipes senegalensis,2.078122712,0.1216805,0.987454812,
Pyramidobacter piscolens,-7.67E-01,0.1223009,0.987454812,
Clostridium bolteae,1.203410159,0.1234278,0.987454812,
Streptococcus salivarius,-0.55012514,0.1338498,0.987454812,
Bacteroides fragilis,-8.30E-02,0.1341132,0.987454812,
Alistipes finegoldii,-0.82791864,0.1501947,0.987454812,
Roseburia inulinivorans,-0.974344313,0.1622436,0.987454812,
Streptococcus anginosus,-4.02790942,0.1639573,0.987454812,
Eubacterium rectale,-2.57E-01,0.1752037,0.987454812,
Collinsella aerofaciens,0.72305656,0.1794787,0.987454812,
Bacteroides plebeius,1.23E-01,0.1835166,0.987454812,
Alistipes sp AP11,5.06E-01,0.1850175,0.987454812,
Lactobacillus delbrueckii,-2.88E+00,0.1949597,0.987454812,
Megasphaera micronuciformis,1.95E+00,0.1974933,0.987454812,
Escherichia coli,-0.04800465,0.2204799,0.987454812,
Clostridiales bacterium 1 7 47FAA,3.97E-01,0.221757,0.987454812,
Lachnospiraceae bacterium 8 1 57FAA,-4.09E+00,0.2220331,0.987454812,
Bacteroides ovatus,4.76E-02,0.2242981,0.987454812,
Alistipes onderdonkii,-0.06398619,0.2296192,0.987454812,
Streptococcus vestibularis,-2.51E+00,0.2339457,0.987454812,
Ruminococcaceae bacterium D16,3.57E+00,0.2389194,0.987454812,
Bacteroides xylanisolvens,2.36E-01,0.2404569,0.987454812,
Dorea longicatena,1.92084848,0.2431278,0.987454812,
Lactobacillus gasseri,-2.51E+00,0.2601886,0.987454812,
Ruminococcus torques,2.02E-01,0.2708878,0.987454812,
Bacteroides vulgatus,0.094513516,0.2716091,0.987454812,
Enterobacter hormaechei,-6.37E+00,0.2794283,0.987454812,
Paraprevotella xylaniphila,2.585156895,0.2815451,0.987454812,
Blautia producta,9.47E-01,0.286341,0.987454812,
Coriobacteriaceae bacterium phI,-1.46E+00,0.2936512,0.987454812,
Methanobrevibacter smithii,-0.808981826,0.295096,0.987454812,
Clostridium asparagiforme,8.58E-01,0.2964808,0.987454812,
Roseburia intestinalis,-0.452381428,0.3019141,0.987454812,
Clostridium symbiosum,4.842261753,0.3065405,0.987454812,
Bacteroides uniformis,-5.70E-02,0.3098335,0.987454812,
Subdoligranulum sp 4 3 54A2FAA,1.480962425,0.3377691,0.987454812,
Bifidobacterium catenulatum,-1.09E+00,0.3422953,0.987454812,
Megamonas funiformis,9.59E+00,0.3461285,0.987454812,
Parabacteroides distasonis,1.06E-01,0.3539959,0.987454812,
Adlercreutzia equolifaciens,1.04E+01,0.3572582,0.987454812,
Oscillibacter sp KLE 1745,3.14E+00,0.3575266,0.987454812,
Paraprevotella clara,1.693859074,0.3772418,0.987454812,
Coprococcus eutactus,-1.06E+01,0.3956306,0.987454812,
Coprobacter fastidiosus,8.84E-01,0.4000397,0.987454812,
Mitsuokella multacida,0.114104534,0.4033224,0.987454812,
Bifidobacterium pseudocatenulatum,-1.161009316,0.4040778,0.987454812,
Alistipes indistinctus,3.02E-01,0.4113728,0.987454812,
Alistipes putredinis,4.15E-02,0.4331919,0.987454812,
Lactobacillus salivarius,-1.04E+00,0.4364801,0.987454812,
Sutterella wadsworthensis,-1.28E-01,0.4382663,0.987454812,
Clostridium sp ATCC BAA 442,-1.08E+00,0.4446202,0.987454812,
Bacteroides eggerthii,0.046293555,0.4530079,0.987454812,
Bifidobacterium bifidum,0.3209076,0.4536216,0.987454812,
Bacteroides intestinalis,0.462868584,0.4542784,0.987454812,
Dialister succinatiphilus,2.078998828,0.4596859,0.987454812,
Veillonella dispar,1.44E+00,0.4679719,0.987454812,
Odoribacter splanchnicus,0.294000188,0.4700156,0.987454812,
Parabacteroides goldsteinii,0.412213328,0.4722061,0.987454812,
Eubacterium limosum,-1.31E+01,0.4885863,0.987454812,
Lachnospiraceae bacterium 1 1 57FAA,-2.37E+00,0.4937655,0.987454812,
Bacteroides sp 4 3 47FAA,-1.65E-01,0.5069369,0.987454812,
Phascolarctobacterium succinatutens,0.489968486,0.5094968,0.987454812,
Faecalibacterium prausnitzii,1.03E-01,0.5098244,0.987454812,
Bacteroides stercoris,-2.59E-02,0.5127556,0.987454812,
Barnesiella intestinihominis,-0.12766614,0.5220037,0.987454812,
Lactobacillus crispatus,4.86E-01,0.5249274,0.987454812,
Lachnospiraceae bacterium 5 1 63FAA,2.14341127,0.5319177,0.987454812,
Prevotella stercorea,-4.31E-02,0.5368172,0.987454812,
Klebsiella oxytoca,1.29E+00,0.5400748,0.987454812,
Ruminococcus bromii,-8.87E-02,0.5492717,0.987454812,
Alistipes sp HGB5,-5.09E-01,0.5508548,0.987454812,
Bacteroides dorei,-3.28E-02,0.5513928,0.987454812,
Collinsella tanakaei,3.54E+00,0.5595071,0.987454812,
Bacteroides caccae,-0.041440496,0.5600901,0.987454812,
Coprococcus sp ART55 1,-0.43662792,0.5601735,0.987454812,
Bifidobacterium longum,9.47E-02,0.5740922,0.987454812,
Vibrio phage pYD38 A,3.06E-02,0.5881364,0.987454812,
Enterobacter cloacae,-2.91E-01,0.6034233,0.987454812,
Ruminococcus lactaris,-1.31E+00,0.6057429,0.987454812,
Alistipes shahii,0.046250501,0.6146553,0.987454812,
Bifidobacterium dentium,-5.70E-01,0.6165296,0.987454812,
Lactobacillus reuteri,-1.29E+00,0.6221015,0.987454812,
Lachnospiraceae bacterium 2 1 58FAA,-1.10E+01,0.6229093,0.987454812,
Bacteroides cellulosilyticus,-8.02E-02,0.6259257,0.987454812,
Burkholderiales bacterium 1 1 47,3.22E+00,0.6344582,0.987454812,
Bacteroides salyersiae,-1.60E-01,0.6347051,0.987454812,
Weissella confusa,8.24E+00,0.6395657,0.987454812,
Anaerostipes hadrus,3.35E+00,0.6575922,0.987454812,
Eubacterium biforme,4.66E-01,0.6576504,0.987454812,
Prevotella copri,0.014382056,0.6580476,0.987454812,
Ruminococcus callidus,4.73E-01,0.6592942,0.987454812,
Bilophila wadsworthia,5.02121209,0.6718234,0.987454812,
Citrobacter freundii,9.35E-01,0.6813922,0.987454812,
Lachnospiraceae bacterium 7 1 58FAA,3.319358646,0.6909506,0.987454812,
Dialister invisus,0.754761841,0.6936283,0.987454812,
Ruminococcus gnavus,0.288937214,0.6977342,0.987454812,
Eubacterium siraeum,-0.118313504,0.6998963,0.987454812,
Megasphaera elsdenii,0.772329424,0.7151215,0.987454812,
Bifidobacterium adolescentis,-0.031844239,0.7183196,0.987454812,
Enterobacter aerogenes,-1.41E+00,0.7184311,0.987454812,
Bacteroides faecis,-2.03E-01,0.7195197,0.987454812,
Bifidobacterium animalis,14.12046168,0.7267765,0.987454812,
Bacteroides clarus,-5.59E-02,0.7545256,0.987454812,
Bacteroides sp 3 2 5,5.78E-02,0.7669861,0.987454812,
Clostridium clostridioforme,0.423112995,0.7682454,0.987454812,
Eubacterium ventriosum,1.254816902,0.7684025,0.987454812,
Klebsiella phage KP36,-1.07E-02,0.76871,0.987454812,
Bacteroides sp 2 1 22,-1.29E+00,0.7748658,0.987454812,
Collinsella intestinalis,3.54250641,0.7802096,0.987454812,
Clostridium perfringens,4.844095153,0.788067,0.987454812,
Clostridium bartlettii,1.947870564,0.7883143,0.987454812,
Veillonella atypica,-2.78E-01,0.7927259,0.987454812,
Clostridium nexile,-0.066107609,0.7951788,0.987454812,
Clostridium hathewayi,2.51E-01,0.7956914,0.987454812,
Fusobacterium varium,-1.15E+00,0.7972326,0.987454812,
Streptococcus gallolyticus,9.05E-01,0.7988806,0.987454812,
Ruminococcus champanellensis,2.55566926,0.8020445,0.987454812,
Weissella cibaria,9.25E-01,0.8071575,0.987454812,
Bacteroides thetaiotaomicron,-1.70E-02,0.8147055,0.987454812,
Ruminococcus obeum,5.61E-01,0.8160312,0.987454812,
Sutterella parvirubra,-6.25E-01,0.8251979,0.987454812,
Lactobacillus mucosae,-0.234285126,0.8378515,0.987454812,
Megamonas hypermegale,-2.32E-01,0.8426542,0.987454812,
Streptococcus parasanguinis,-0.175369274,0.8449791,0.987454812,
Bifidobacterium breve,-4.32E-02,0.8574369,0.987454812,
Coprococcus catus,-0.863972135,0.8577485,0.987454812,
Desulfovibrio desulfuricans,4.51E-01,0.859733,0.987454812,
Eubacterium hallii,-0.332611177,0.8620438,0.987454812,
Clostridium leptum,6.59E-01,0.8679538,0.987454812,
Coprococcus comes,0.539494605,0.8681154,0.987454812,
Parabacteroides merdae,2.60E-02,0.8693313,0.987454812,
Flavonifractor plautii,2.76E-01,0.8723377,0.987454812,
Catenibacterium mitsuokai,3.15E-01,0.8817532,0.987454812,
Lactobacillus fermentum,1.93E-01,0.8838386,0.987454812,
Oxalobacter formigenes,-2.68E+00,0.8873746,0.987454812,
Streptococcus infantarius,0.460778849,0.888771,0.987454812,
Odoribacter laneus,-0.030655554,0.8958952,0.987454812,
Dorea formicigenerans,6.68E-01,0.9022349,0.987454812,
Fusobacterium mortiferum,-0.48197485,0.9077324,0.987454812,
Bacteroides finegoldii,-2.28E-02,0.9151306,0.987454812,
Bacteroides massiliensis,-1.14E-02,0.9183981,0.987454812,
Bacteroides nordii,0.430563372,0.9260483,0.987454812,
Lachnospiraceae bacterium 1 4 56FAA,-1.43E+00,0.9296543,0.987454812,
Butyrivibrio crossotus,3.84E+00,0.93225,0.987454812,
Bacteroides coprophilus,-2.98E-02,0.9341655,0.987454812,
Streptococcus pasteurianus,-0.349810043,0.9342412,0.987454812,
Veillonella parvula,-2.89E-02,0.9366323,0.987454812,
Lachnospiraceae bacterium 3 1 57FAA CT1,-1.15E-01,0.9396381,0.987454812,
Ruminococcus sp 5 1 39BFAA,-1.46E-01,0.9437236,0.987454812,
Lachnospiraceae bacterium 3 1 46FAA,-2.15E-01,0.9438552,0.987454812,
Bacteroides barnesiae,-1.79E-01,0.9535902,0.987454812,
Akkermansia muciniphila,0.004461026,0.9542887,0.987454812,
Eubacterium cylindroides,1.23E-01,0.958756,0.987454812,
Desulfovibrio piger,-1.71E-01,0.9590352,0.987454812,
Haemophilus parainfluenzae,2.44E-02,0.9593478,0.987454812,
Lachnospiraceae bacterium 2 1 46FAA,0.603957689,0.9605209,0.987454812,
Fusobacterium ulcerans,1.34E-01,0.9640831,0.987454812,
Roseburia hominis,-2.66E-02,0.9722394,0.989809992,
Prevotella buccae,8.26E-04,0.9852055,0.991251393,
Clostridium sp L2 50,-3.99E-02,0.985386,0.991251393,
Lactobacillus vaginalis,-2.12E-02,0.9960832,0.9960832,
