Species,Estimate,pvalue,padj,highlight
Haemophilusparainfluenzae,0.06961333,0.000773548,0.108673535,4
Lachnospiraceaebacterium1456FAA,-1.275614654,0.00170921,0.108673535,4
Oxalobacterformigenes,-0.812130774,0.001929116,0.108673535,
Lactobacillusruminis,0.408832929,0.004068575,0.171897294,
Lachnospiraceaebacterium7158FAA,0.419396102,0.01407984,0.46729852,
Bacteroidesintestinalis,-0.059817392,0.02045335,0.46729852,
Eubacteriumsiraeum,-0.038880156,0.02064645,0.46729852,
Bacteroidesvulgatus,-0.009205471,0.02212064,0.46729852,
Prevotellacopri,0.002903207,0.03692886,0.499359134,
Megamonasfuniformis,0.21374387,0.03721859,0.499359134,
Collinsellaaerofaciens,0.07889313,0.04109517,0.499359134,
Dorealongicatena,0.141821292,0.04128066,0.499359134,
Ruminococcusbromii,-0.015609616,0.04131449,0.499359134,
Bacteroidesuniformis,-0.006992033,0.0464838,0.499359134,
Eubacteriumeligens,-0.019545632,0.04811979,0.499359134,
Bifidobacteriumbifidum,0.058040867,0.05022749,0.499359134,
Sutterellawadsworthensis,0.024517293,0.05267927,0.499359134,
Eubacteriumrectale,0.010266653,0.05318618,0.499359134,
ClostridiumspATCCBAA442,-0.160016156,0.07345429,0.596017958,
Coprococcuseutactus,0.361274295,0.07445977,0.596017958,
Klebsiellaoxytoca,0.304185593,0.07552694,0.596017958,
Anaerostipeshadrus,0.566889398,0.08100678,0.596017958,
Dialistersuccinatiphilus,0.030009963,0.08111487,0.596017958,
Eubacteriumbiforme,0.069122562,0.0909126,0.639369588,
Flavonifractorplautii,-0.134642207,0.0945813,0.639369588,
Fusobacteriumulcerans,-0.194716967,0.1019758,0.6628427,
Ruminococcusobeum,0.107669502,0.1240707,0.776590678,
Butyrivibriocrossotus,-0.346236193,0.1305482,0.787951636,
Doreaformicigenerans,0.129873147,0.1423387,0.829491045,
Veillonellaatypica,0.118762681,0.1493439,0.84130397,
Clostridiumbolteae,-0.074996117,0.1592853,0.856823562,
Alistipesfinegoldii,-0.057563261,0.1683007,0.856823562,
Paraprevotellaclara,-0.11467338,0.170909,0.856823562,
Megasphaeraelsdenii,0.198331711,0.1775672,0.856823562,
Odoribactersplanchnicus,-0.037682426,0.1782276,0.856823562,
Bacteroidesbarnesiae,-0.257477939,0.1877829,0.856823562,
Bacteroidessalyersiae,-0.031661198,0.1923455,0.856823562,
Sutterellaparvirubra,-0.274945953,0.2009684,0.856823562,
Ruminococcussp5139BFAA,0.035326471,0.2030952,0.856823562,
Subdoligranulumsp4354A2FAA,0.118641593,0.2078737,0.856823562,
Lachnospiraceaebacterium8157FAA,0.11535257,0.208099,0.856823562,
CoprococcusspART551,0.035398184,0.2129384,0.856823562,
Citrobacterfreundii,-0.207472038,0.2228732,0.875943507,
Ruminococcuslactaris,-0.051097901,0.2372609,0.896615229,
Catenibacteriummitsuokai,0.145310559,0.2387437,0.896615229,
Lachnospiraceaebacterium2146FAA,-0.226301073,0.2447804,0.899301904,
Eubacteriumhallii,0.104813713,0.2721151,0.925607573,
Bifidobacteriumdentium,-0.101498304,0.2737139,0.925607573,
AlistipesspAP11,0.033461188,0.2784476,0.925607573,
Clostridiumnexile,-0.018984723,0.2861076,0.925607573,
Lachnospiraceaebacterium2158FAA,0.074250682,0.2923047,0.925607573,
Bacteroidessp4347FAA,-0.01878131,0.2998796,0.925607573,
Collinsellaintestinalis,-0.308048613,0.3015391,0.925607573,
Dialisterinvisus,-0.027562969,0.3074687,0.925607573,
Ruminococcustorques,-0.012628882,0.3110883,0.925607573,
Clostridiumbartlettii,0.223530583,0.3209818,0.925607573,
Desulfovibriodesulfuricans,0.202296219,0.3242217,0.925607573,
Desulfovibriopiger,-0.147186296,0.3308851,0.925607573,
Alistipesshahii,-0.007034446,0.3348456,0.925607573,
Alistipesputredinis,-0.003433558,0.3535236,0.925607573,
VibriophagepYD38A,-0.004317834,0.3548837,0.925607573,
Eubacteriumcylindroides,-0.173948814,0.3661796,0.925607573,
Parasutterellaexcrementihominis,0.084800341,0.3802442,0.925607573,
Lachnospiraceaebacterium3146FAA,0.113683839,0.3837237,0.925607573,
Alistipessenegalensis,-0.091534693,0.4031612,0.925607573,
Enterobactercloacae,-0.035233513,0.4066119,0.925607573,
Streptococcuspasteurianus,-0.261551608,0.4184587,0.925607573,
Parabacteroidesjohnsonii,0.03824798,0.4229921,0.925607573,
