Species,Estimate,pvalue,padj,highlight
Lachnospiraceae bacterium 1 4 56FAA,1.219234991,2.28E-06,0.000385935,4
Haemophilus parainfluenzae,-0.05118384,0.000132862,0.011226873,4
Flavonifractor plautii,1.56E-01,0.002669903,0.150404536,
Anaerostipes hadrus,-0.590145248,0.004840612,0.204515857,
Bacteroides vulgatus,0.006912137,0.008115098,0.265896235,
Oxalobacter formigenes,0.445667595,0.009440103,0.265896235,
Lachnospiraceae bacterium 8 1 57FAA,-0.145190427,0.01408133,0.302166423,
Lachnospiraceae bacterium 7 1 58FAA,-2.71E-01,0.01504883,0.302166423,
Eubacterium eligens,0.015237881,0.01761604,0.302166423,
Eubacterium rectale,-0.008160135,0.01787967,0.302166423,
Bifidobacterium bifidum,-4.26E-02,0.02708266,0.353915258,
Dorea longicatena,-0.099726498,0.02739833,0.353915258,
Ruminococcus obeum,-0.098761765,0.02953841,0.353915258,
Ruminococcus lactaris,0.060529234,0.03046302,0.353915258,
Faecalibacterium prausnitzii,-0.006587901,0.03148594,0.353915258,
Megamonas rupellensis,2.75E-02,0.03350677,0.353915258,
Clostridium bolteae,6.95E-02,0.04442498,0.441636566,
Enterobacter cloacae,5.16E-02,0.06078624,0.570715253,
Ruminococcus bromii,0.009194035,0.06555461,0.578553417,
Parabacteroides distasonis,0.010358538,0.06846786,0.578553417,
Megamonas funiformis,-1.20E-01,0.07340362,0.59072437,
Collinsella aerofaciens,-0.044158826,0.08001793,0.61468319,
Ruminococcaceae bacterium D16,1.73E-01,0.09790296,0.695596564,
Bacteroides intestinalis,2.77E-02,0.1020256,0.695596564,
Oscillibacter sp KLE 1745,1.50E-01,0.1028989,0.695596564,
Roseburia inulinivorans,-0.010472498,0.1139758,0.728726748,
Fusobacterium ulcerans,1.22E-01,0.1164238,0.728726748,
Eubacterium biforme,-4.08E-02,0.126215,0.761797679,
Ruminococcus gnavus,-0.014566674,0.1361518,0.776320581,
Lachnospiraceae bacterium 2 1 46FAA,1.87E-01,0.1384035,0.776320581,
Clostridium sp ATCC BAA 442,8.56E-02,0.142402,0.776320581,
Paraprevotella clara,0.077756446,0.1540026,0.791692791,
Bifidobacterium longum,-1.07E-02,0.1545909,0.791692791,
Prevotella buccae,-8.02E-02,0.1632473,0.811435109,
Collinsella intestinalis,2.51E-01,0.1957404,0.945146503,
Dialister succinatiphilus,-0.014205043,0.2064911,0.969360997,
Lactobacillus ruminis,-1.16E-01,0.2191844,0.9887457,
Odoribacter splanchnicus,2.22E-02,0.2238453,0.9887457,
Parasutterella excrementihominis,-0.075147875,0.232034,0.9887457,
Veillonella atypica,-6.11E-02,0.2558207,0.9887457,
Lachnospiraceae bacterium 5 1 63FAA,-0.043018339,0.2645894,0.9887457,
Burkholderiales bacterium 1 1 47,-0.063761309,0.2692252,0.9887457,
Bilophila wadsworthia,2.10E-01,0.2748565,0.9887457,
Lachnospiraceae bacterium 2 1 58FAA,-0.049338429,0.2827722,0.9887457,
Veillonella parvula,-1.93E-02,0.2908814,0.9887457,
Bacteroides xylanisolvens,0.010834243,0.2920837,0.9887457,
Bacteroides uniformis,2.40E-03,0.2966079,0.9887457,
Bacteroides finegoldii,1.01E-02,0.3027579,0.9887457,
Ruminococcus torques,8.24E-03,0.3102331,0.9887457,
Eubacterium hallii,-0.061114037,0.3259534,0.9887457,
Ruminococcus sp 5 1 39BFAA,-0.017135078,0.3441113,0.9887457,
Bacteroides thetaiotaomicron,2.86E-03,0.3629708,0.9887457,
Bifidobacterium adolescentis,-4.22E-03,0.3637368,0.9887457,
Bifidobacterium breve,-9.81E-03,0.3709509,0.9887457,
Clostridium nexile,1.02E-02,0.3797136,0.9887457,
Klebsiella pneumoniae,-0.005351292,0.3926735,0.9887457,
Clostridium hathewayi,-3.11E-02,0.4039642,0.9887457,
Butyrivibrio crossotus,1.25E-01,0.4045189,0.9887457,
Sutterella wadsworthensis,-0.006728836,0.4175094,0.9887457,
Megasphaera elsdenii,-7.75E-02,0.4201241,0.9887457,
Prevotella copri,-0.000733003,0.4224698,0.9887457,
Megasphaera micronuciformis,-6.05E-02,0.4306545,0.9887457,
Weissella confusa,-2.08E-01,0.4325488,0.9887457,
Fusobacterium mortiferum,2.16E-02,0.4342556,0.9887457,
Bacteroides cellulosilyticus,-5.74E-03,0.436658,0.9887457,
Alistipes putredinis,0.001862474,0.4401286,0.9887457,
Eubacterium ventriosum,-0.014902125,0.4433128,0.9887457,
Fusobacterium varium,5.81E-02,0.4454818,0.9887457,
Phascolarctobacterium succinatutens,1.22E-02,0.4593428,0.9887457,
Clostridium bartlettii,-1.07E-01,0.4669447,0.9887457,
Bacteroides eggerthii,1.99E-03,0.4701521,0.9887457,
Eubacterium siraeum,7.62E-03,0.491081,0.9887457,
Parabacteroides johnsonii,-2.14E-02,0.4922558,0.9887457,
Methanobrevibacter smithii,-2.48E-02,0.5060617,0.9887457,
Bacteroides massiliensis,2.39E-03,0.5090647,0.9887457,
Paraprevotella xylaniphila,2.54E-02,0.5094244,0.9887457,
Clostridium asparagiforme,2.77E-02,0.5145006,0.9887457,
Coprococcus catus,-1.18E-01,0.5199595,0.9887457,
Alistipes indistinctus,1.10E-02,0.5298295,0.9887457,
Lachnospiraceae bacterium 3 1 46FAA,5.09E-02,0.5500213,0.9887457,
Bacteroides dorei,1.39E-03,0.551054,0.9887457,
Roseburia intestinalis,-0.004024539,0.5621455,0.9887457,
Streptococcus pasteurianus,-1.22E-01,0.5632417,0.9887457,
Bacteroidales bacterium ph8,-2.76E-03,0.5781745,0.9887457,
Catenibacterium mitsuokai,-4.48E-02,0.5783847,0.9887457,
Alistipes finegoldii,1.52E-02,0.578944,0.9887457,
Bacteroides fragilis,1.45E-03,0.5820617,0.9887457,
Citrobacter freundii,6.07E-02,0.5850518,0.9887457,
Bacteroides salyersiae,8.53E-03,0.59091,0.9887457,
Enterobacter aerogenes,-3.93E-02,0.6003423,0.9887457,
Parabacteroides merdae,3.96E-03,0.6009484,0.9887457,
Lactobacillus reuteri,-7.03E-02,0.6137108,0.9887457,
Bacteroides sp 2 1 22,8.24E-03,0.6195558,0.9887457,
Coprococcus sp ART55 1,-9.20E-03,0.6204394,0.9887457,
Streptococcus infantarius,-7.33E-02,0.6346397,0.9887457,
Bacteroides coprophilus,-0.003504238,0.6373793,0.9887457,
Streptococcus salivarius,-4.25E-03,0.6381733,0.9887457,
