UniRef90	KIDS	GeneName
UniRef90_A0A023NQE5	K00626	thl
UniRef90_A0A023NTU1	K00626	thl
UniRef90_A0A023NW49	K00626	thl
UniRef90_A0A023VD39	K00626	thl
UniRef90_A0A023WTC4	K00626	thl
UniRef90_A0A023WTW9	K00626	thl
UniRef90_A0A023WZQ8	K00626	thl
UniRef90_A0A023X079	K00626	thl
UniRef90_A0A024DGT0	K00626	thl
UniRef90_A0A024E552	K00626	thl
UniRef90_A0A024E800	K00626	thl
UniRef90_A0A024EBC6	K00626	thl
UniRef90_A0A024EJI0	K00626	thl
UniRef90_A0A024HHS9	K00626	thl
UniRef90_A0A024HKM0	K00626	thl
UniRef90_A0A024HLH6	K00626	thl
UniRef90_A0A024HMF6	K00626	thl
UniRef90_A0A024HMI7	K00626	thl
UniRef90_A0A024HPR1	K00626	thl
UniRef90_A0A058ZX35	K00626	thl
UniRef90_A0B8Z2	K00626	thl
UniRef90_A0JU34	K00626	thl
UniRef90_A0JWS0	K00626	thl
UniRef90_A0JWV4	K00626	thl
UniRef90_A0JZ95	K00626	thl
UniRef90_A0K024	K00626	thl
UniRef90_A0K2C8	K00626	thl
UniRef90_A0KK65	K00626	thl
UniRef90_A0KYX9	K00626	thl
UniRef90_A0L6T3	K00626	thl
UniRef90_A0LDJ9	K00626	thl
UniRef90_A0LKL0	K00626	thl
UniRef90_A0LPA0	K00626	thl
UniRef90_A0LSI9	K00626	thl
UniRef90_A0LSN5	K00626	thl
UniRef90_A0M1I5	K00626	thl
UniRef90_A0PL60	K00626	thl
UniRef90_A0PN27	K00626	thl
UniRef90_A0PWC9	K00626	thl
UniRef90_A0Q367	K00626	thl
UniRef90_A0QPE8	K00626	thl
UniRef90_A0QTM4	K00626	thl
UniRef90_A0QUH3	K00626	thl
UniRef90_A0QUI8	K00626	thl
UniRef90_A0R1Y7	K00626	thl
UniRef90_A0R2Y1	K00626	thl
UniRef90_A0R3M0	K00626	thl
UniRef90_A0R3V4	K00626	thl
UniRef90_A0R466	K00626	thl
UniRef90_A0R4Y4	K00626	thl
UniRef90_A0R4Z5	K00626	thl
UniRef90_A0RH15	K00626	thl
UniRef90_A0RV53	K00626	thl
UniRef90_A0RYH3	K00626	thl
UniRef90_A1B5F6	K00626	thl
UniRef90_A1B610	K00626	thl
UniRef90_A1B647	K00626	thl
UniRef90_A1BBH8	K00626	thl
UniRef90_A1BBI6	K00626	thl
UniRef90_A1BC38	K00626	thl
UniRef90_A1C3T7	K00626	thl
UniRef90_A1CUN9	K00626	thl
UniRef90_A1DPD1	K00626	thl
UniRef90_A1K2F5	K00626	thl
UniRef90_A1K2M6	K00626	thl
UniRef90_A1K8F9	K00626	thl
UniRef90_A1QYQ8	K00626	thl
UniRef90_A1R6J3	K00626	thl
UniRef90_A1RU32	K00626	thl
UniRef90_A1RUG2	K00626	thl
UniRef90_A1RY87	K00626	thl
UniRef90_A1S5C6	K00626	thl
UniRef90_A1SGF0	K00626	thl
UniRef90_A1SHM4	K00626	thl
UniRef90_A1SHQ5	K00626	thl
UniRef90_A1SKA2	K00626	thl
UniRef90_A1SKA8	K00626	thl
UniRef90_A1SKD1	K00626	thl
UniRef90_A1SKL4	K00626	thl
UniRef90_A1SPA4	K00626	thl
UniRef90_A1SQH5	K00626	thl
UniRef90_A1SSP7	K00626	thl
UniRef90_A1SXB8	K00626	thl
UniRef90_A1T1Q9	K00626	thl
UniRef90_A1T3I8	K00626	thl
UniRef90_A1T3K4	K00626	thl
UniRef90_A1T6J5	K00626	thl
UniRef90_A1T9M0	K00626	thl
UniRef90_A1TD32	K00626	thl
UniRef90_A1TEN9	K00626	thl
UniRef90_A1TER4	K00626	thl
UniRef90_A1TEW1	K00626	thl
UniRef90_A1TI60	K00626	thl
UniRef90_A1TQ15	K00626	thl
UniRef90_A1TU49	K00626	thl
UniRef90_A1TVC0	K00626	thl
UniRef90_A1U278	K00626	thl
UniRef90_A1U5G7	K00626	thl
UniRef90_A1U9G0	K00626	thl
UniRef90_A1UD42	K00626	thl
UniRef90_A1UDU8	K00626	thl
UniRef90_A1UGS2	K00626	thl
UniRef90_A1UHP5	K00626	thl
UniRef90_A1UJQ4	K00626	thl
UniRef90_A1UKR1	K00626	thl
UniRef90_A1UL94	K00626	thl
UniRef90_A1UM57	K00626	thl
UniRef90_A1UMA8	K00626	thl
UniRef90_A1VJF2	K00626	thl
UniRef90_A1VKD8	K00626	thl
UniRef90_A1VKK6	K00626	thl
UniRef90_A1VNC5	K00626	thl
UniRef90_A1VR28	K00626	thl
UniRef90_A1W1Z5	K00626	thl
UniRef90_A1W285	K00626	thl
UniRef90_A1W2A4	K00626	thl
UniRef90_A1W786	K00626	thl
UniRef90_A1W7M4	K00626	thl
UniRef90_A1W8A4	K00626	thl
UniRef90_A1WC72	K00626	thl
UniRef90_A1WCB0	K00626	thl
UniRef90_A1WHJ1	K00626	thl
UniRef90_A1WIT8	K00626	thl
UniRef90_A1WPH0	K00626	thl
UniRef90_A1WQJ1	K00626	thl
UniRef90_A1WRA3	K00626	thl
UniRef90_A1WSP0	K00626	thl
UniRef90_A1WXN7	K00626	thl
UniRef90_A2E932	K00626	thl
UniRef90_A2R924	K00626	thl
UniRef90_A2RJR9	K00626	thl
UniRef90_A2SG09	K00626	thl
UniRef90_A2SGP6	K00626	thl
UniRef90_A2SGY8	K00626	thl
UniRef90_A2SL81	K00626	thl
UniRef90_A2STY1	K00626	thl
UniRef90_A2U0L5	K00626	thl
UniRef90_A3CY35	K00626	thl
UniRef90_A3LUB4	K00626	thl
UniRef90_A3MU90	K00626	thl
UniRef90_A3MVR6	K00626	thl
UniRef90_A3PFM6	K00626	thl
UniRef90_A3PI17	K00626	thl
UniRef90_A3PPL3	K00626	thl
UniRef90_A3PRN3	K00626	thl
UniRef90_A3QDI6	K00626	thl
UniRef90_A3QGX6	K00626	thl
UniRef90_A3UA93	K00626	thl
UniRef90_A4AQX3	K00626	thl
UniRef90_A4CK45	K00626	thl
UniRef90_A4F856	K00626	thl
UniRef90_A4F8Z3	K00626	thl
UniRef90_A4FD92	K00626	thl
UniRef90_A4FGV7	K00626	thl
UniRef90_A4FMY4	K00626	thl
UniRef90_A4FNA8	K00626	thl
UniRef90_A4FQY7	K00626	thl
UniRef90_A4FWW5	K00626	thl
UniRef90_A4G2P1	K00626	thl
UniRef90_A4INH3	K00626	thl
UniRef90_A4J1J5	K00626	thl
UniRef90_A4J4L8	K00626	thl
UniRef90_A4J5F6	K00626	thl
UniRef90_A4J5R1	K00626	thl
UniRef90_A4JL43	K00626	thl
UniRef90_A4SMV2	K00626	thl
UniRef90_A4SXC9	K00626	thl
UniRef90_A4SZ02	K00626	thl
UniRef90_A4T5V7	K00626	thl
UniRef90_A4T6V5	K00626	thl
UniRef90_A4T713	K00626	thl
UniRef90_A4T7T8	K00626	thl
UniRef90_A4TAE6	K00626	thl
UniRef90_A4TDM5	K00626	thl
UniRef90_A4TFI6	K00626	thl
UniRef90_A4VPF5	K00626	thl
UniRef90_A4WHQ4	K00626	thl
UniRef90_A4WWF5	K00626	thl
UniRef90_A4WZI0	K00626	thl
UniRef90_A4X177	K00626	thl
UniRef90_A4X3D5	K00626	thl
UniRef90_A4X852	K00626	thl
UniRef90_A4X857	K00626	thl
UniRef90_A4X8P2	K00626	thl
UniRef90_A4XAU2	K00626	thl
UniRef90_A4XFA6	K00626	thl
UniRef90_A4XFB4	K00626	thl
UniRef90_A4XQ97	K00626	thl
UniRef90_A4XRD9	K00626	thl
UniRef90_A4XT23	K00626	thl
UniRef90_A4XTY1	K00626	thl
UniRef90_A4XVI1	K00626	thl
UniRef90_A4XYJ4	K00626	thl
UniRef90_A4XZ02	K00626	thl
UniRef90_A4YDE5	K00626	thl
UniRef90_A4YDE6	K00626	thl
UniRef90_A4YDR1	K00626	thl
UniRef90_A4YDS1	K00626	thl
UniRef90_A4YEH9	K00626	thl
UniRef90_A4YKS3	K00626	thl
UniRef90_A4YSQ6	K00626	thl
UniRef90_A5A797	K00626	thl
UniRef90_A5D5M9	K00626	thl
UniRef90_A5DDY8	K00626	thl
UniRef90_A5DUK3	K00626	thl
UniRef90_A5ELP9	K00626	thl
UniRef90_A5ELU9	K00626	thl
UniRef90_A5FB08	K00626	thl
UniRef90_A5FEN3	K00626	thl
UniRef90_A5FXY6	K00626	thl
UniRef90_A5FYV0	K00626	thl
UniRef90_A5FZL7	K00626	thl
UniRef90_A5G0R9	K00626	thl
UniRef90_A5G159	K00626	thl
UniRef90_A5G5Z7	K00626	thl
UniRef90_A5I6S9	K00626	thl
UniRef90_A5K3P9	K00626	thl
UniRef90_A5N3I5	K00626	thl
UniRef90_A5N3I6	K00626	thl
UniRef90_A5UNI9	K00626	thl
UniRef90_A5UQF7	K00626	thl
UniRef90_A5UWB8	K00626	thl
UniRef90_A5V061	K00626	thl
UniRef90_A5V1D2	K00626	thl
UniRef90_A5V350	K00626	thl
UniRef90_A5V3Y4	K00626	thl
UniRef90_A5V4A3	K00626	thl
UniRef90_A5V507	K00626	thl
UniRef90_A5V767	K00626	thl
UniRef90_A5V7E9	K00626	thl
UniRef90_A5VAC9	K00626	thl
UniRef90_A5VCD2	K00626	thl
UniRef90_A5VCG0	K00626	thl
UniRef90_A5VCG6	K00626	thl
UniRef90_A5VGK1	K00626	thl
UniRef90_A5VHK4	K00626	thl
UniRef90_A5W1Y9	K00626	thl
UniRef90_A5W6Q4	K00626	thl
UniRef90_A5WEP4	K00626	thl
UniRef90_A5WF94	K00626	thl
UniRef90_A5WH10	K00626	thl
UniRef90_A6GXQ0	K00626	thl
UniRef90_A6GZY1	K00626	thl
UniRef90_A6LM38	K00626	thl
UniRef90_A6LQG9	K00626	thl
UniRef90_A6LZH0	K00626	thl
UniRef90_A6QTV8	K00626	thl
UniRef90_A6RG55	K00626	thl
UniRef90_A6SVE8	K00626	thl
UniRef90_A6TWY3	K00626	thl
UniRef90_A6U6S5	K00626	thl
UniRef90_A6UJP2	K00626	thl
UniRef90_A6UJP3	K00626	thl
UniRef90_A6USZ2	K00626	thl
UniRef90_A6VZT4	K00626	thl
UniRef90_A6VZX8	K00626	thl
UniRef90_A6WFA2	K00626	thl
UniRef90_A6X5C0	K00626	thl
UniRef90_A7AWF2	K00626	thl
UniRef90_A7EC84	K00626	thl
UniRef90_A7H6D8	K00626	thl
UniRef90_A7HAG5	K00626	thl
UniRef90_A7HJU6	K00626	thl
UniRef90_A7HP80	K00626	thl
UniRef90_A7HPZ9	K00626	thl
UniRef90_A7HQA4	K00626	thl
UniRef90_A7HQD4	K00626	thl
UniRef90_A7HTD1	K00626	thl
