feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Dorea_longicatena	Age	Age	-0.000245770981939656	2.54291148164568e-05	295	105	2.58677815638463e-19	1.24941384953377e-16
s__Eubacterium_hallii	Age	Age	-0.000159228199927475	2.15874270311817e-05	295	90	1.76067172923857e-12	4.25202222611114e-10
s__Ruminococcus_obeum	Age	Age	-0.000104636026815815	1.45167112585267e-05	295	111	5.04239572547616e-12	8.11825711801663e-10
s__Eggerthella_unclassified	Age	Age	-6.78427010299291e-05	1.02289479119317e-05	295	69	1.63813318854148e-10	1.97804582516383e-08
s__Collinsella_aerofaciens	Age	Age	-0.000322287697508253	4.91663223549186e-05	295	194	2.57620368828577e-10	2.48861276288406e-08
s__Bifidobacterium_bifidum	Age	Age	-0.00044042186819024	7.24945786172162e-05	295	96	3.92389504544804e-09	3.15873551158567e-07
s__Bifidobacterium_adolescentis	Age	Age	-0.00121428726072362	0.000203915158425281	295	138	7.590304181137e-09	5.23730988498453e-07
s__Dorea_formicigenerans	Age	Age	-2.78108600884945e-05	4.83409191595707e-06	295	53	2.24476669133963e-08	1.3552778898963e-06
s__Bilophila_unclassified	Age	Age	-9.73616978802755e-05	1.74704096132501e-05	295	181	5.77170500004989e-08	3.09748168336011e-06
s__Bifidobacterium_pseudocatenulatum	Age	Age	-0.00022541022715882	4.34640775027338e-05	295	64	4.06163668939284e-07	1.96177052097674e-05
s__Faecalibacterium_prausnitzii	Age	Age	-0.000799757331546957	0.000158866940988464	295	220	8.48963930277503e-07	3.7277234393094e-05
s__Faecalibacterium_prausnitzii	Gender	Gender	-0.0242952355522225	0.00504328478668599	295	220	2.35936419586999e-06	9.49644088837672e-05
s__Acidaminococcus_unclassified	Age	Age	-0.000388488876629256	9.02636507910017e-05	295	96	2.30445635841001e-05	0.000856194170086179
s__Alistipes_shahii	Age	Age	0.000581856367993505	0.00014986110356605	295	136	0.000128283324834163	0.00442577470677864
s__Coprococcus_comes	Age	Age	-5.56000234923527e-05	1.47479194164198e-05	295	70	0.000198175362466137	0.00638124667140962
s__Megamonas_unclassified	Age	Age	-0.000179143384369686	4.88604470322468e-05	295	91	0.000293002838760757	0.00884502319509036
s__Ruminococcus_gnavus	Age	Age	-0.000311958505223759	8.66383488912534e-05	295	129	0.000373817890904554	0.0106208259592294
s__Ruminococcus_bromii	Age	Age	-0.000401901042458611	0.000116754591510163	295	136	0.000662711722656177	0.0177827645579407
s__Eubacterium_rectale	Age	Age	-0.00034938839017556	0.000112132641950622	295	143	0.00201991918613213	0.051348471942201
s__Prevotella_copri	Tgly	Tgly	0.0469203397953354	0.0151618557736872	295	93	0.00216504059877445	0.052285730460403
s__Bacteroides_dorei	Age	Age	0.000764320098444714	0.000249643277265042	295	226	0.00240978355711521	0.0554250218136499
s__Parabacteroides_johnsonii	Age	Age	-6.91367751247079e-05	2.30427260283494e-05	295	82	0.00293322000546148	0.0634455280319785
s__Roseburia_inulinivorans	Age	Age	-0.000124407542611227	4.15929462433951e-05	295	135	0.0030212156205704	0.0634455280319785
s__Alistipes_unclassified	Age	Age	0.000227305586912775	7.84676578281727e-05	295	65	0.00405999623280773	0.0817074241852556
s__Bacteroides_intestinalis	Tgly	Tgly	-0.00193767427051507	0.000690943944198329	295	59	0.00538529471451028	0.104043893884339
s__Parabacteroides_goldsteinii	FBGlu	FBGlu	0.000592378552552463	0.000212826438891454	295	60	0.0057365465287801	0.106567383592338
s__Acidaminococcus_unclassified	Gender	Gender	0.00791941212972671	0.00286545013073583	295	96	0.00608353616974483	0.108827702592102
s__Prevotella_copri	HDL	HDL	0.0877343094814357	0.0321085068036811	295	93	0.00667680138949609	0.115174823968808
s__Bacteroides_xylanisolvens	Age	Age	0.000169893930435842	6.25949557117902e-05	295	159	0.00704611253211084	0.117354219069294
s__Parabacteroides_merdae	Age	Age	0.000227375243026845	8.44899992200342e-05	295	179	0.00753833944457972	0.121367265057733
s__Alistipes_finegoldii	Gender	Gender	-0.00187242022464454	0.000703954747467454	295	68	0.00825678673962687	0.126922827180677
s__Sutterella_wadsworthensis	Tgly	Tgly	0.00706112552178091	0.00266101406868731	295	111	0.00840896577594548	0.126922827180677
s__Roseburia_intestinalis	Age	Age	-0.000101675139664193	3.86668831659252e-05	295	95	0.00901171730854152	0.131898771515926
s__Alistipes_shahii	HDL	HDL	-0.0251738604127992	0.00969475408220004	295	136	0.0098988065140297	0.13944318282748
s__Bifidobacterium_longum	Age	Age	-0.000228755998075879	8.86837971289346e-05	295	155	0.0103932807076383	0.13944318282748
