feature	s__Acidaminococcus_unclassified	s__Akkermansia_muciniphila	s__Alistipes_finegoldii	s__Alistipes_indistinctus	s__Alistipes_onderdonkii	s__Alistipes_putredinis	s__Alistipes_senegalensis	s__Alistipes_shahii	s__Alistipes_unclassified	s__Bacteroidales_bacterium_ph8	s__Bacteroides_caccae	s__Bacteroides_cellulosilyticus	s__Bacteroides_clarus	s__Bacteroides_dorei	s__Bacteroides_eggerthii	s__Bacteroides_finegoldii	s__Bacteroides_fragilis	s__Bacteroides_intestinalis	s__Bacteroides_massiliensis	s__Bacteroides_ovatus	s__Bacteroides_plebeius	s__Bacteroides_salyersiae	s__Bacteroides_stercoris	s__Bacteroides_thetaiotaomicron	s__Bacteroides_uniformis	s__Bacteroides_vulgatus	s__Bacteroides_xylanisolvens	s__Barnesiella_intestinihominis	s__Bifidobacterium_adolescentis	s__Bifidobacterium_bifidum	s__Bifidobacterium_longum	s__Bifidobacterium_pseudocatenulatum	s__Bilophila_unclassified	s__Clostridium_bolteae	s__Collinsella_aerofaciens	s__Coprococcus_comes	s__Dorea_formicigenerans	s__Dorea_longicatena	s__Eggerthella_unclassified	s__Escherichia_coli	s__Escherichia_unclassified	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_rectale	s__Faecalibacterium_prausnitzii	s__Klebsiella_pneumoniae	s__Megamonas_unclassified	s__Megasphaera_unclassified	s__Odoribacter_splanchnicus	s__Oscillibacter_unclassified	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__Parabacteroides_johnsonii	s__Parabacteroides_merdae	s__Parabacteroides_unclassified	s__Phascolarctobacterium_succinatutens	s__Prevotella_copri	s__Roseburia_hominis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bromii	s__Ruminococcus_gnavus	s__Ruminococcus_obeum	s__Ruminococcus_torques	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Subdoligranulum_unclassified	s__Sutterella_wadsworthensis	s__Veillonella_unclassified
MBH043	0	0	0	0	0.00794789185269526	0	0	0	0.00968645792861948	0	0.019603343061684	0	0.0218675006640428	0.0119444598621151	0.171355661927793	0.00351765697186439	0	0	0.223616777603789	0.0171082452824749	0	0.00400569891823353	0	0.029405014592526	0.00322433935053385	0	0	0	0.0996614074341808	0	0.021521552073932	0.0102175895570309	0.00412163068182343	0.00123205712296554	0.0328393648457754	0	0	0.0127416189798969	0.00106882930361021	0	0	0	0	0	0	0.0064113343099644	0	0.01979878554809	0	0.00204932475903378	0.00272542238917308	0	0.00203157591381161	0.0165859367794341	0.0908296641272139	0	0	0	0	0	0.0563226259919219	0.0303198495800757	0	0.0042299704538154	0.00430035026781776	0.0137625366608554	0.0014714100472622	0	0.00349385505226009
MBH060	0	0	0	0	0.00626551650044381	0	0	0	0.0330180120857968	0	0.00915639164635854	0	0.0173313882112719	0.0113636131974194	0.176521254114459	0.0081084353904032	0	0	0.0539747927837494	0.0462027308633056	0	0.00478944855544923	0	0.0119660275027104	0.00305080544117725	0	0	0	0.139658595198381	0	0.036179311115288	0.0107646645581826	0.00911429399693635	0.00199795648020432	0.0830157492097262	0	0	0.0129264247251217	0.00295346099759809	0	0	0	0	0	0	0.0104142245612976	0	0.0190345592141663	0	0.00369001696545465	0.0185973756345736	0	0.00188970538169011	0.0122245254178064	0.00335323577007711	0	0	0	0	0	0.0350038387348117	0.0760434406969495	0	0.00742274316845869	0.00652197578844922	0.0181999452832489	0.00416440548945194	0	0.00149594455912854
MBH068	0	0	0	0	0.102740994728363	0.153840316086027	0	0	0	0.0550185649711337	0.184172618105058	0	0	0.0514851421114864	0	0	0	0	0	0.0137484770033955	0.00971736760300116	0	0.0647584674164874	0.0216393097385786	0.0270104843606678	0.00464571438330271	0.00379747462228118	0	0	0	0	0	0	0	0.0150300324774573	0.00375594179624117	0.00189737309422687	0.00615969199822106	0	0.102270895685204	0.0290497360139219	0.00122001413328723	0	0.0171295117811246	0.0185470847341399	0	0	0.00764992213353016	0.00137068431242508	0	0	0	0	0.0144711077552498	0	0	0	0	0	0	0	0.00167202467070077	0.0016032075063863	0.00173154494938098	0	0.00204925591062136	0	0	0
MBH069	0	0	0	0	0.0112771749032526	0.0994101222997173	0	0	0	0.064773786416415	0.0519126993959918	0	0	0.0180085989584725	0	0.016078712172559	0	0	0	0.00610091609395611	0	0.00997121668905684	0.218551631405188	0.0190314409794342	0.0546051880409777	0.0102504864699409	0	0.0464982666851294	0.0227496058439555	0	0	0	0.00366563096953075	0.00295789109713446	0	0.0011100948484797	0	0.0115047205601672	0.00271749032526073	0.0041825685450925	0.00133480630682062	0	0.014193666456936	0	0	0.0224189156032349	0	0	0	0.0256270259458733	0	0.00295353857789633	0	0.0451055617503039	0.0531951742505772	0	0	0	0.00731000544975897	0.0135397763574394	0.0126560125093427	0.00938757422563622	0.00204112907993007	0.0645984709903581	0	0	0.0187985305895052	0	0
MBH078	0.0352566866313686	0	0	0.00480972898605172	0	0.0107156528565206	0	0	0	0	0.0139083598139607	0.00151870676426285	0	0	0	0	0	0	0.0126509807099967	0.00294244992091614	0	0.00195157831039327	0	0.00251059402834303	0.0073965985965496	0.00408871652570919	0	0	0.0664500480759611	0.04249260883515	0.00253669632476619	0	0.0016117406301135	0	0.0196421304064635	0.0211894786010429	0	0	0	0.00698698551688184	0.00240669266942904	0	0.00834806284904839	0	0.0194399137832008	0	0	0.0568014408467626	0	0.00272642040927385	0.0103497128798176	0	0.0050949245049476	0	0.00872700319128504	0.0354688566594931	0.283974398623911	0.00623072987810024	0	0.0152579602609295	0	0.0032061135843968	0.00722891419423582	0.0206427522911367	0	0	0.00978754863584016	0.0180071313098874	0
MBH089	0	0	0	0	0.0075877598574735	0	0	0.00106414215033202	0.0351171089272373	0	0.00663636411132532	0	0.0161388275000914	0.0039952351844015	0.0683404126372105	0.00448394225795834	0	0	0.0154875315433927	0.0298883507573027	0	0.00499396561182427	0	0.0270482698808274	0.0012496146873351	0	0	0	0.0470321781790254	0	0.0315962654712831	0.0114066132714743	0.00931155729011562	0.00160697585722272	0.0363051780797584	0	0	0.0234597158874208	0.00154981896835473	0.289781455881047	0.0796416984059811	0	0	0	0	0.00244343087621406	0	0.00318532102422637	0.00354257770254385	0.00192901887640215	0.0132149443843618	0	0.00245095426926433	0.00620805316531089	0.0114895795781675	0	0	0	0	0	0	0.0738371916845608	0	0.0112792380474705	0.0106357789585325	0.0146359252467307	0.0043169647288705	0	0
MBH094	0	0	0	0	0.0122794829877477	0	0	0.00425576838800528	0.00261113398994747	0	0.0387881119330896	0	0	0.00473495384588497	0	0	0.00619750589862464	0	0	0.144476854153566	0.0441038596884827	0.0194705163263952	0	0.0377623746139006	0.0120299326305483	0.189005640386758	0.00226962798402431	0	0	0	0.00287958351914979	0	0.00904457471325333	0.00785077701507087	0	0	0	0	0.00300598443297556	0.0601628722514533	0.0194734629714924	0	0.00182702156873085	0	0.00775496024518526	0	0	0	0	0.00212158447000168	0.0180716727728266	0	0	0.00520082859660134	0.0160142032358024	0	0	0	0	0	0.0065093422366723	0.0511722516260146	0	0.00732678223002304	0.0168405847728965	0.0322156708479561	0.00610321325551345	0.0682099567950703	0
MBH095	0	0	0	0	0.21630400307331	0.183838729628433	0	0	0	0.0334638769358363	0.0136117446198128	0	0	0.0121740102200494	0	0	0	0	0	0.0142801410675206	0.0266328955530266	0	0.0635113032760722	0.00801186562836693	0.0126260745748559	0.0180819679369769	0	0	0	0	0	0	0	0	0.0144592895031647	0.0114037628850719	0.00324912413794288	0.0163896063190392	0.00104801329639083	0.0196172083944935	0.00619926337962463	0.00829296599382772	0.00105124665789146	0.01706376219192	0.0676864823563041	0	0	0.00143328852769996	0.0104867007294565	0	0.00257385679704624	0	0	0.0384263795414709	0	0	0	0	0	0	0	0	0.0078381734902551	0.00805986083814186	0.0073625662220222	0.0137617928019513	0.0248830407259058	0	0
MBS1115	0	0	0	0.0010890243724349	0.0341059476518729	0.0282602028889987	0	0.00129234840896133	0	0	0.0147306273092877	0.00218417603878822	0	0.0511951746334934	0.0128714020913067	0.0358210793412056	0	0	0.0399552666695329	0.00146963144633445	0	0	0.0082491758023768	0.0362313016690442	0.139135322409526	0	0	0	0	0	0	0	0.0191717920629281	0	0.0106225831016791	0.00221848888473141	0.00102632173133634	0.00257315708104296	0.00670040014292934	0.110727553858658	0.0491663254955372	0	0	0	0.0961453091837617	0.00279782452471858	0	0	0.00363001316040612	0	0	0.0012444533948323	0.00620296599831847	0	0.021189918436527	0	0.00761285632894827	0.00361489916874067	0.00136138258710893	0.0126868684227968	0.0173955916775418	0	0.0018227678191664	0.0445822926720322	0.0105120875680168	0.0331596892277373	0.00608573044134592	0.00206428532111769	0
MBS1116	0	0	0	0	0.0319575030298616	0.115267366316842	0	0	0	0.0325202783223773	0.0442797831853304	0	0	0.00827157271566646	0	0.0225075721248687	0	0	0	0.0140917395553236	0	0.0148694883327567	0.185680337968667	0.00895908321143072	0.121354100277796	0.00822716172278233	0	0.0226690298575409	0.0894608363834277	0	0	0	0.00453083175011684	0	0	0.00179717833390997	0	0.00779144840535198	0.00633155082377839	0.00871295121669934	0.00300821249294381	0	0.00962474228472808	0	0	0	0	0.00415875058422206	0	0.00822453145896687	0	0.00323370703312311	0	0.0490272070442512	0.00700388672060731	0	0	0	0.00399031253603967	0.00574702527278871	0.0152561371136294	0.00678911556367565	0.00185787672965137	0.0401844624246581	0	0	0.0538754914040955	0	0
