Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MBS1533,MBS1558,MBS1559,MBS1563,MBS1567,MBS1579,MBS1587,MBS1592,MBS1594,MBS1605,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
PWY-6165: chorismate biosynthesis II (archaea),0.0,0.0,0.0,35.985877987,0.0,0.0,94.3401923563,3.5436746795,0.0,0.0,0.0,0.0,0.0,0.0,11.4347255314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5198: factor 420 biosynthesis,0.0,0.0,0.0,70.1360332943,0.0,0.0,30.0079166896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0346913714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0952170594
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,588.0758321791,709.3298999504,1633.983570943,555.5996797703,914.2921376248,742.894356667,642.6936541605,387.2505446623,441.3620365466,780.9768977072,996.2283652984,740.8485831584,542.1343907099,567.3366462878,466.0795881852,390.0518955274,945.6421729306,614.697239169,894.9727551817,335.8145216729,754.3971267454,348.5952955748,1952.6473231131,1335.0966894171,996.8927497288,467.6983980454,1015.6833799119,403.3774731764,742.2331517396,500.9793573541
PWY66-399: gluconeogenesis III,266.0766861038,333.143561855,16.3992406486,146.523750821,9.6654886312,85.0213257091,321.1335965574,0.0,52.5455222624,55.8263554374,0.0,52.1702689512,4.5938920981,317.4620514935,233.624080589,62.2924017578,88.0093258118,201.9201723067,35.8704224834,68.2423603513,319.1638072727,0.0,53.3885375478,101.8905024713,59.7204757588,55.2172347722,211.3685356915,68.900927648,197.2845813739,77.5431248443
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5074885043,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),202.0836508892,55.4103919368,212.8944817709,346.3966506452,1372.0173364759,123.2715817078,347.6435383953,54.1808006053,97.30610757,29.5960248799,37.0780271106,111.3670177244,19.0023183296,95.8679279246,19.0220232459,103.2690306149,24.6274299965,142.6475267251,18.6373310001,12.3069833926,138.5977263076,6.5286925991,326.5677677276,513.8623648251,140.4693882213,9.0188915612,92.6871896732,187.7602487848,173.8512412357,180.0582466053
PWY-6588: pyruvate fermentation to acetone,79.2485009703,0.0,0.0,112.6426780507,37.8372703677,158.1416631974,139.5210200538,29.4340359429,0.0,5.6553060865,0.0,13.7824009704,23.7259534263,1.8552344857,19.8621737,4.8669321367,0.0,0.0,356.6165371221,145.0176802825,263.0317550661,111.304683947,384.0414630077,130.6699062135,94.711279628,0.0,18.8749136681,34.5755847154,27.0334799909,76.2500150637
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,2461.1314288794,1739.2853636676,2386.7556266974,2153.8292574375,2747.5545154701,1984.7852527232,1178.252769226,839.8079207511,491.5417539462,1287.1037764172,900.9867101274,1023.8430179277,568.5120460921,917.3217447019,739.7726135695,463.8223848097,2009.3355086374,1996.2621233332,2019.5900440639,1653.762461632,1888.15364118,959.7937782626,2719.7393490888,2564.9412026925,3104.1587929548,1021.8591369914,1543.9340465036,2014.9817052687,1974.6062445276,748.2913841465
PWY-4984: urea cycle,87.4480922452,440.8699042613,178.9965564564,95.6699099288,62.5783179502,85.1048066072,143.8305107703,166.0943222341,202.7629941191,277.8149457666,194.1001747068,69.7100811204,89.9391237761,41.77212084,63.8548826028,139.7287779059,56.0405225867,312.1060871075,16.5285276714,43.673871499,50.973868843,33.929510922,201.1540470999,6.7044476974,104.4037588887,293.0940978539,543.4326101585,36.5109030785,117.3913936679,32.6283895123
PWY66-389: phytol degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8681548864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P108-PWY: pyruvate fermentation to propanoate I,93.2979421558,0.0,12.9059423594,25.1385659748,0.0,13.0485431832,104.9382803024,60.8391636624,11.1812337802,22.9445614996,25.8631989399,37.7212013132,22.3864147464,212.1695427938,267.5722612146,110.634299293,0.0,37.0098876214,0.0,10.0002298101,147.3257544615,0.0,57.5275400103,14.0260454446,14.8445593426,0.0,0.0,110.4320062288,7.6659177571,59.0217564745
PWY-2942: L-lysine biosynthesis III,1846.9448849625,2082.5962238492,2290.0692763558,1328.7902614144,1648.365630392,1832.1434782122,1944.6850557296,1867.8849652974,2324.6062229263,2493.2750947997,2384.4511066272,1401.5144062936,1784.6044104981,1376.862967152,862.5955957597,1174.5441457293,2003.0175924456,1743.2543561051,1875.9421406987,1333.1572111728,1662.3299449229,833.0414910526,2209.6902303833,2007.8675547694,2341.3902905129,1729.021116659,2114.8151111426,2379.153432962,1393.3801413332,610.4559117207
