Index,MBE035,MBE036,MBE037,MBE038,MBM135,MBM137,MHS232,MHS236,MHS238,MHS239,MHS243,MHS246,MHS253,MHS266,MHS267,MHS276,MHS279,MHS283,MHS287,MHS289
PWY-922: mevalonate pathway I,7.4032936416,15.6016571316,12.9251436586,0.0,0.0,3.0283471564,0.0,8.2554959741,0.0,0.0,3.0633960442,0.0,15.1631978703,93.5731481072,31.9344161302,0.0,0.0,18.7483062311,7.8355524315,0.0
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I,1582.8219073169,1359.6073987654,2028.316174929,1091.3894063727,1891.3012104593,1199.5871394328,1827.003565644,2085.0170129295,1616.2925909853,618.243329074,1462.1646093968,738.0665862863,866.894021973,2426.7713570398,2033.7707495245,1913.652782382,2471.8791110841,1304.9253274831,1116.8644227817,838.5466703749
PWY-7391: isoprene biosynthesis II (engineered),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.199695509,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5101: L-isoleucine biosynthesis II,841.809844323,0.0,30.5152485671,413.7242702135,349.4806333161,296.2893148528,1068.789937105,603.8913521282,165.2139725116,237.6888488352,939.8164919005,364.7156169672,23.0475972645,128.7681304149,235.7985864792,284.3099873566,0.0,49.8199391019,557.6061185216,283.5482841184
PWY-5022: 4-aminobutanoate degradation V,161.8952920058,0.0,115.5278130685,127.7861807517,487.0317623763,4.3936439202,92.9840326928,84.0954937968,0.0,6.6372285006,227.9363824115,1.6306633567,7.7849686063,17.1405232569,24.8035100881,42.4504966674,249.9677697915,73.8358626742,87.4853751794,0.0
ENTBACSYN-PWY: enterobactin biosynthesis,106.4623454158,228.0465906066,0.0,76.1113236657,3617.7628157088,11.7376981842,91.4711194648,130.3501289454,0.0,0.0,78.977260342,0.0,40.9382764395,0.0,0.0,0.0,277.6846539702,414.9256157352,150.9866991147,107.0120322383
PWY-6823: molybdenum cofactor biosynthesis,25.4206128388,15.5506953153,0.0,23.7507953058,2024.1682320173,0.0,11.8552651724,20.8926051142,2.7405762862,0.0,6.2060236442,0.0,0.0,0.0,2.4710388012,0.0,50.410232382,111.76364562,5.6723829109,10.6016378105
PWY-6612: superpathway of tetrahydrofolate biosynthesis,86.6360689734,25.928242643,0.0,140.500738449,1824.5326061298,299.0361656555,21.4958376172,97.3889184248,2.8689226008,236.3823936616,243.3732271747,72.0802832164,601.8664847078,83.2163131713,56.7029509196,3.8430615117,158.5086995427,238.3873929328,129.4759480431,86.4401663486
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),169.7395414888,168.2077105668,66.4691658585,83.383501781,713.2354352886,0.0,151.0543988795,106.1327321817,13.0439596754,0.0,45.1234032075,0.0,0.0,25.672031874,18.9703147366,15.073496942,366.8486352931,138.909567563,45.8670899674,66.2835046388
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",324.5593191453,164.9796268084,274.424150476,330.8441334873,542.0333960203,414.8523723006,399.9353246476,592.7951181584,31.4615606973,241.5699655259,536.8042072156,328.9057071676,678.1498908881,1260.1530977365,574.4038103599,65.4590966938,717.8114952063,411.2222062352,523.7285308772,163.8208562463
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,738.9625511062,1771.3917250523,81.9035576937,184.7358996045,398.2186623089,271.0782263956,1221.2607747833,751.3439530937,155.8226010262,171.8969424041,751.1857517178,317.4832127374,44.6180348145,106.06359241,260.0015464846,786.0403395015,769.9355871457,26.3523183571,539.9218692135,47.6768094289
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,395.0912490805,883.6389550301,706.53245596,864.1642504296,2698.9888688002,536.4093333216,962.807689147,429.1029099575,18.1189105906,725.5662036126,224.8326468535,204.0193302937,1215.8729293038,1725.3969716659,1995.6217776888,2.8365946851,67.6294390317,816.0312063821,1572.8099903605,508.072642269
PWY-6305: putrescine biosynthesis IV,490.3210809371,38.9170479098,1107.316715757,674.8881315006,2664.0545971775,935.6135469609,118.3426215548,624.7827995562,1064.390829709,507.264130249,582.7173134741,331.4367687028,531.9071890889,649.09286369,1207.9836579132,197.797267638,223.374472982,479.0105207456,249.5015875839,305.1880098066
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",818.9956291733,55.1471828639,1286.0500878854,1178.0644662696,2116.3843101252,823.7090296394,775.9799268916,929.8345590406,1640.8622953259,604.6383647211,800.7672255319,593.057699826,2593.1386673526,1666.7077801329,1648.0738721491,137.0996371362,783.4013532714,549.887447844,1009.6815946859,580.170189311
PWY-6527: stachyose degradation,1140.6663661136,1198.5735359931,1682.2894268134,1120.4790484162,2467.2366062819,1353.3130083432,628.2763248842,969.5650356421,849.3499394183,1641.8541576474,1190.9449662716,745.5392918249,992.4417467754,472.5373486049,2905.0114187215,981.4626514745,532.2003239789,587.4226007918,647.8781373191,339.7871091066
