"","Org1","Org2","corr_val","q_val","p_val","Organism1","Organism2","abscorr","corrvalround","corrvalposneg"
"1","Alistipes putredinis","Alistipes onderdonkii",0.201391507774531,0.0367716556810346,6.50901031806847e-05,"A. putredinis","A. onderdonkii",0.201391507774531,0.2,"Pos"
"2","Escherichia unclassified","Alistipes onderdonkii",-0.139097263479147,2.07578113613876,0.0312321773265312,"E. unclassified","A. onderdonkii",0.139097263479147,-0.14,"Neg"
"3","Alistipes onderdonkii","Alistipes putredinis",0.201391507774531,0.0367716556810346,6.50901031806847e-05,"A. onderdonkii","A. putredinis",0.201391507774531,0.2,"Pos"
"4","Bacteroides fragilis","Alistipes putredinis",-0.148818914053248,1.88106794588297,0.0166485441598637,"B. fragilis","A. putredinis",0.148818914053248,-0.15,"Neg"
"5","Bacteroides massiliensis","Alistipes putredinis",0.104679779718973,1.83489380196188,0.0178638637765482,"B. massiliensis","A. putredinis",0.104679779718973,0.1,"Pos"
"6","Bacteroides ovatus","Alistipes putredinis",-0.162973871302641,2.03971970877374,0.026176421427733,"B. ovatus","A. putredinis",0.162973871302641,-0.16,"Neg"
"7","Ruminococcus bromii","Alistipes putredinis",0.169699784395541,0.527271651289217,0.00233333022072529,"R. bromii","A. putredinis",0.169699784395541,0.17,"Pos"
"8","Escherichia unclassified","Bacteroides caccae",-0.125269306572236,2.49746168144785,0.0431027743071173,"E. unclassified","B. caccae",0.125269306572236,-0.13,"Neg"
"9","Parabacteroides merdae","Bacteroides caccae",0.116557714681135,2.50444931519694,0.0421150797406136,"P. merdae","B. caccae",0.116557714681135,0.12,"Pos"
"10","Bacteroides thetaiotaomicron","Bacteroides dorei",0.102349552439981,1.53000395964212,0.00880192555122854,"B. thetaiotaomicron","B. dorei",0.102349552439981,0.1,"Pos"
"11","Bacteroides uniformis","Bacteroides dorei",0.233253760767877,0.0174488729859821,2.3164899472354e-05,"B. uniformis","B. dorei",0.233253760767877,0.23,"Pos"
"12","Bifidobacterium adolescentis","Bacteroides dorei",-0.117749410766448,2.12919374952958,0.0310935927639026,"B. adolescentis","B. dorei",0.117749410766448,-0.12,"Neg"
"13","Escherichia coli","Bacteroides dorei",-0.172572095433063,2.06309239218696,0.0273893493898335,"E. coli","B. dorei",0.172572095433063,-0.17,"Neg"
"14","Escherichia unclassified","Bacteroides dorei",-0.185833137291133,0.475963577901461,0.00168502167346425,"E. unclassified","B. dorei",0.185833137291133,-0.19,"Neg"
"15","Parabacteroides merdae","Bacteroides dorei",0.118446494126558,2.59877479692638,0.0460013335114918,"P. merdae","B. dorei",0.118446494126558,0.12,"Pos"
"16","Subdoligranulum unclassified","Bacteroides dorei",-0.165035351405449,0.3402677474555,0.000903470174815684,"S. unclassified","B. dorei",0.165035351405449,-0.17,"Neg"
"17","Prevotella copri","Bacteroides eggerthii",-0.145783924202283,1.82390833268575,0.0185640456314883,"P. copri","B. eggerthii",0.145783924202283,-0.15,"Neg"
"18","Alistipes putredinis","Bacteroides fragilis",-0.148818914053248,1.88106794588297,0.0166485441598637,"A. putredinis","B. fragilis",0.148818914053248,-0.15,"Neg"
"19","Bacteroides massiliensis","Bacteroides fragilis",-0.117066228639487,1.76105379941152,0.0132483968534112,"B. massiliensis","B. fragilis",0.117066228639487,-0.12,"Neg"
"20","Faecalibacterium prausnitzii","Bacteroides fragilis",-0.128359286011065,2.6466484920227,0.0480199723793107,"F. prausnitzii","B. fragilis",0.128359286011065,-0.13,"Neg"
"21","Alistipes putredinis","Bacteroides massiliensis",0.104679779718973,1.83489380196188,0.0178638637765482,"A. putredinis","B. massiliensis",0.104679779718973,0.1,"Pos"
"22","Bacteroides fragilis","Bacteroides massiliensis",-0.117066228639487,1.76105379941152,0.0132483968534112,"B. fragilis","B. massiliensis",0.117066228639487,-0.12,"Neg"
"23","Alistipes putredinis","Bacteroides ovatus",-0.162973871302641,2.03971970877374,0.026176421427733,"A. putredinis","B. ovatus",0.162973871302641,-0.16,"Neg"
"24","Bacteroides vulgatus","Bacteroides ovatus",0.11550751486947,1.43100350013897,0.00886564863964021,"B. vulgatus","B. ovatus",0.11550751486947,0.12,"Pos"
"25","Escherichia coli","Bacteroides plebeius",-0.140319496469334,2.08676522879352,0.0295505353871983,"E. coli","B. plebeius",0.140319496469334,-0.14,"Neg"
"26","Escherichia unclassified","Bacteroides plebeius",-0.131829557349648,1.81925001486242,0.0128811356449126,"E. unclassified","B. plebeius",0.131829557349648,-0.13,"Neg"
"27","Eubacterium rectale","Bacteroides plebeius",0.332874457704462,0.0528328985243028,0.000116900461530454,"E. rectale","B. plebeius",0.332874457704462,0.33,"Pos"
"28","Bacteroides dorei","Bacteroides thetaiotaomicron",0.102349552439981,1.53000395964212,0.00880192555122854,"B. dorei","B. thetaiotaomicron",0.102349552439981,0.1,"Pos"
"29","Escherichia unclassified","Bacteroides thetaiotaomicron",-0.119999018806984,1.95941413401609,0.0164748557693378,"E. unclassified","B. thetaiotaomicron",0.119999018806984,-0.12,"Neg"
"30","Bacteroides dorei","Bacteroides uniformis",0.233253760767877,0.0174488729859821,2.3164899472354e-05,"B. dorei","B. uniformis",0.233253760767877,0.23,"Pos"
"31","Prevotella copri","Bacteroides uniformis",-0.211818219330665,0.334064581880966,0.00103483297057531,"P. copri","B. uniformis",0.211818219330665,-0.21,"Neg"
"32","Bacteroides ovatus","Bacteroides vulgatus",0.11550751486947,1.43100350013897,0.00886564863964021,"B. ovatus","B. vulgatus",0.11550751486947,0.12,"Pos"
"33","Ruminococcus torques","Bacteroides vulgatus",-0.113774008442148,2.03298258557987,0.0161937692807453,"R. torques","B. vulgatus",0.113774008442148,-0.11,"Neg"
