"org_list","pval","betaestimate","stderror","padj"
"s__Adlercreutzia_equolifaciens",0.754898102033745,0.117698685071985,0.376716614782841,0.9311389831305
"s__Akkermansia_muciniphila",0.961515313563737,-0.000295294378327792,0.0061154295136517,0.994711583867096
"s__Alistipes_finegoldii",0.168300702616053,-0.0575632608656711,0.0416958715644218,0.856823497133219
"s__Alistipes_indistinctus",0.595227690586127,0.0143298378651244,0.0269477335954737,0.925607621569707
"s__Alistipes_onderdonkii",0.450212089918174,-0.00327905424886815,0.00433788050693807,0.925607621569707
"s__Alistipes_putredinis",0.353523585982519,-0.00343355803677983,0.00369591376244001,0.925607621569707
"s__Alistipes_senegalensis",0.40316122374188,-0.0915346929101753,0.109359489241344,0.925607621569707
"s__Alistipes_shahii",0.334845606886076,-0.00703444626302231,0.00728403508372521,0.925607621569707
"s__Alistipes_sp_AP11",0.278447605786859,0.0334611882026222,0.0308254786275656,0.925607621569707
"s__Alistipes_sp_HGB5",0.589968963529184,-0.0376344499828817,0.0697736018402613,0.925607621569707
"s__Anaerostipes_hadrus",0.0810067780189153,0.566889398295819,0.323947131606312,0.596017961360157
"s__Bacteroidales_bacterium_ph8",0.48676756512527,0.00529762307353888,0.00760935119634173,0.925607621569707
"s__Bacteroides_barnesiae",0.187782872444084,-0.257477939324095,0.195095700089596,0.856823497133219
"s__Bacteroides_caccae",0.725297083203484,-0.00197962360643923,0.00562918872428098,0.9311389831305
"s__Bacteroides_cellulosilyticus",0.488518525601186,-0.00785125715037512,0.0113228074308268,0.925607621569707
"s__Bacteroides_clarus",0.498524787239643,0.00958654218850346,0.0141494541054593,0.925607621569707
"s__Bacteroides_coprocola",0.878322420553259,-0.00104511004895733,0.00682148992601435,0.976555849167768
"s__Bacteroides_coprophilus",0.651919830282116,0.00514736031491687,0.0114009332515398,0.9311389831305
"s__Bacteroides_dorei",0.860329961056411,-0.000631703021349597,0.00358750644906023,0.975810492741836
"s__Bacteroides_eggerthii",0.822847322923344,-0.000947774886754768,0.00423014079470136,0.962015643207746
"s__Bacteroides_faecis",0.605045011532308,-0.0236885707841369,0.0457635991535586,0.929569154081455
"s__Bacteroides_finegoldii",0.657961780278203,-0.00665002894426167,0.015007675642967,0.9311389831305
"s__Bacteroides_fragilis",0.822114369139817,0.000907280201556018,0.00403243511392518,0.962015643207746
"s__Bacteroides_intestinalis",0.0204533526602475,-0.0598173920165614,0.0256886469619163,0.467298560613407
"s__Bacteroides_massiliensis",0.941056977450025,0.000410521845689735,0.00554798828549557,0.994711583867096
"s__Bacteroides_nordii",0.542912408921065,-0.155874193321579,0.255945828177485,0.925607621569707
"s__Bacteroides_ovatus",0.512128439035314,0.00195330424404307,0.0029766946130188,0.925607621569707
"s__Bacteroides_plebeius",0.996569827183533,1.99130242435421e-05,0.00462859136442995,0.996569827183533
"s__Bacteroides_salyersiae",0.192345495766761,-0.0316611975021857,0.0242392052613347,0.856823497133219
"s__Bacteroides_sp_2_1_22",0.571114796500116,-0.0144245990085633,0.02544259843427,0.925607621569707
"s__Bacteroides_sp_3_2_5",0.935684029370479,0.00130361276103152,0.0161430493903283,0.994711583867096
"s__Bacteroides_sp_4_3_47FAA",0.299879630603588,-0.0187813096799249,0.01808965911377,0.925607621569707
"s__Bacteroides_stercoris",0.800810405781742,0.000652384707529248,0.00258379651442692,0.953077173078271
"s__Bacteroides_thetaiotaomicron",0.541586593837479,-0.00295106040558894,0.00482975800622121,0.925607621569707
"s__Bacteroides_uniformis",0.046483802944222,-0.0069920333375925,0.00349937983787889,0.499359092696295
"s__Bacteroides_vulgatus",0.0221206419225281,-0.0092054711777133,0.00400489272534222,0.467298560613407
"s__Bacteroides_xylanisolvens",0.506440291540015,-0.0105014462508349,0.015789812621111,0.925607621569707
"s__Barnesiella_intestinihominis",0.722855817699113,0.00541023109012296,0.0152430586977884,0.9311389831305
"s__Bifidobacterium_adolescentis",0.489852556411451,-0.00492572223379489,0.0071255653580475,0.925607621569707
"s__Bifidobacterium_animalis",0.563562276848321,-1.93168092613724,3.34136913031559,0.925607621569707
"s__Bifidobacterium_bifidum",0.0502274942962966,0.0580408666813012,0.0295399745783872,0.499359092696295
"s__Bifidobacterium_breve",0.762804248845316,0.00508898690375124,0.0168489210865561,0.9311389831305
"s__Bifidobacterium_catenulatum",0.72334378280978,0.0335001932970693,0.0945587975486777,0.9311389831305
"s__Bifidobacterium_dentium",0.273713870888335,-0.101498303786562,0.0925846215365454,0.925607621569707
"s__Bifidobacterium_longum",0.554563756060687,0.00685888786764969,0.0115956173662623,0.925607621569707
