"org_list","pval","betaestimate","stderror","padj"
"s__Adlercreutzia_equolifaciens",0.959672809848139,-1.12550239361143,22.1804525105154,0.991196449984976
"s__Akkermansia_muciniphila",0.495642811125609,0.0709668408105419,0.103617774382304,0.914149893716731
"s__Alistipes_finegoldii",0.440269477297162,0.923486835726736,1.18991181211418,0.914149893716731
"s__Alistipes_indistinctus",0.481939128017498,-1.22972896199418,1.73959554469982,0.914149893716731
"s__Alistipes_onderdonkii",0.188198466451099,-0.0958164557728336,0.0721124114129439,0.835872895942235
"s__Alistipes_putredinis",0.408201299913732,-0.0738908375328106,0.0888116155748067,0.880733516576552
"s__Alistipes_senegalensis",0.327281634031334,-2.05104193789097,2.07929968818259,0.845477554580947
"s__Alistipes_shahii",0.252089188361667,0.176341027374169,0.152717263379156,0.835872895942235
"s__Alistipes_sp_AP11",0.396501468907744,0.710901320047188,0.833366330271693,0.880733516576552
"s__Alistipes_sp_HGB5",0.382904642226635,3.90783333201748,4.45082954290845,0.880733516576552
"s__Anaerostipes_hadrus",0.497282130444589,8.99427239720679,13.1826789319682,0.914149893716731
"s__Bacteroidales_bacterium_ph8",0.0333565974057525,-0.239302547452714,0.110279182270681,0.430856049824304
"s__Bacteroides_barnesiae",0.281426889703915,-3.17780970187419,2.92784328174976,0.835872895942235
"s__Bacteroides_caccae",0.0262705991114252,0.166723428724572,0.073459305846552,0.370176623842809
"s__Bacteroides_cellulosilyticus",0.700204356411785,-0.0867655203594114,0.22442894512027,0.96953476760951
"s__Bacteroides_clarus",0.293893559268476,0.385963642247788,0.364996714667525,0.835872895942235
"s__Bacteroides_coprocola",0.966071603719723,0.00791748278129734,0.185481659800145,0.991196449984976
"s__Bacteroides_coprophilus",0.0574325114422157,1.46191778430789,0.756942131137299,0.593469284902896
"s__Bacteroides_dorei",0.0815769288461002,-0.12518996793128,0.0708610362906252,0.679017363191968
"s__Bacteroides_eggerthii",0.723712329866448,-0.0274125692586584,0.0772390268519556,0.96953476760951
"s__Bacteroides_faecis",0.764281227098261,0.368592022081602,1.22448861005029,0.96953476760951
"s__Bacteroides_finegoldii",0.972012002565912,0.00923470259452379,0.262283523073106,0.991196449984976
"s__Bacteroides_fragilis",0.662903639599928,-0.0345252873433089,0.0788716959599316,0.96953476760951
"s__Bacteroides_intestinalis",0.732128818729616,0.293932245272588,0.855336763940569,0.96953476760951
"s__Bacteroides_massiliensis",0.393925618953262,0.135067979753558,0.157470731171294,0.880733516576552
"s__Bacteroides_nordii",0.621412413432981,-2.99405589244499,6.0361608461228,0.96953476760951
"s__Bacteroides_ovatus",0.863198100232727,-0.00893983463475615,0.0516961132675402,0.96953476760951
"s__Bacteroides_plebeius",0.316729003715943,-0.135136597845506,0.134022670545829,0.845477554580947
"s__Bacteroides_salyersiae",0.164018502707772,-0.485991356289335,0.345599606452165,0.835872895942235
"s__Bacteroides_sp_2_1_22",0.23350873595689,5.29309955203683,4.40501814261133,0.835872895942235
"s__Bacteroides_sp_3_2_5",0.146314398013087,-0.33527436669083,0.228270144340396,0.835872895942235
"s__Bacteroides_sp_4_3_47FAA",0.022847310600296,0.743027325133918,0.319367759067767,0.354133314304588
"s__Bacteroides_stercoris",0.846477953330467,-0.0186879276530586,0.0961694309790299,0.96953476760951
"s__Bacteroides_thetaiotaomicron",0.855009826849882,0.0138718284869263,0.0756385493353568,0.96953476760951
"s__Bacteroides_uniformis",0.836423020459808,0.0186860958296512,0.0901705652451104,0.96953476760951
"s__Bacteroides_vulgatus",0.301651396452525,-0.0950641121399252,0.0913664324194896,0.835872895942235
"s__Bacteroides_xylanisolvens",0.970941801153268,0.00811541431334298,0.222000949585579,0.991196449984976
"s__Barnesiella_intestinihominis",0.0121156982320861,-0.812056003575511,0.315388293350681,0.268276175139049
"s__Bifidobacterium_adolescentis",0.24762743500341,0.164606462657022,0.141205401865742,0.835872895942235
"s__Bifidobacterium_animalis",0.717604208837075,-13.7510087520549,37.8704639213408,0.96953476760951
"s__Bifidobacterium_bifidum",0.819633746850581,-0.164499691235485,0.718770917299376,0.96953476760951
"s__Bifidobacterium_breve",0.475450238369463,-0.167784751768104,0.233862573073177,0.914149893716731
"s__Bifidobacterium_catenulatum",0.650803916840207,-9.29998067111504,20.4587596335861,0.96953476760951
"s__Bifidobacterium_dentium",0.54648600235845,-7.48548179707848,12.3534746092846,0.95174528500629
