"","Org1","Org2","corr_val","q_val","p_val","Organism1","Organism2","abscorr","corrvalround","corrvalposneg"
"1","Alistipes putredinis","Alistipes onderdonkii",0.267261821585394,0.0119271261163963,5.27809976996551e-05,"A. putredinis","A. onderdonkii",0.267261821585394,0.27,"Pos"
"2","Bacteroides caccae","Alistipes onderdonkii",0.13966248423594,0.609798586704406,0.0221279942378061,"B. caccae","A. onderdonkii",0.13966248423594,0.14,"Pos"
"3","Escherichia unclassified","Alistipes onderdonkii",0.16637978342336,0.296002687324526,0.00654948937669486,"E. unclassified","A. onderdonkii",0.16637978342336,0.17,"Pos"
"4","Prevotella copri","Alistipes onderdonkii",-0.116245367824742,0.620129216315034,0.0208563145886929,"P. copri","A. onderdonkii",0.116245367824742,-0.12,"Neg"
"5","Alistipes onderdonkii","Alistipes putredinis",0.267261821585394,0.0119271261163963,5.27809976996551e-05,"A. onderdonkii","A. putredinis",0.267261821585394,0.27,"Pos"
"6","Alistipes shahii","Alistipes putredinis",0.276168196588166,0.00615171731882699,1.63338816653029e-05,"A. shahii","A. putredinis",0.276168196588166,0.28,"Pos"
"7","Bacteroides caccae","Alistipes putredinis",0.19326238860789,0.143231231152919,0.00247197523628701,"B. caccae","A. putredinis",0.19326238860789,0.19,"Pos"
"8","Bacteroides fragilis","Alistipes putredinis",-0.11904191416052,0.631489797396428,0.0215178485900268,"B. fragilis","A. putredinis",0.11904191416052,-0.12,"Neg"
"9","Bacteroides vulgatus","Alistipes putredinis",-0.164341758942542,0.14517313776468,0.00244124655909589,"B. vulgatus","A. putredinis",0.164341758942542,-0.16,"Neg"
"10","Bifidobacterium longum","Alistipes putredinis",-0.125185354887719,0.619122121401665,0.021918361856229,"B. longum","A. putredinis",0.125185354887719,-0.13,"Neg"
"11","Parabacteroides merdae","Alistipes putredinis",0.159150985506355,0.294958441372551,0.00626532856159273,"P. merdae","A. putredinis",0.159150985506355,0.16,"Pos"
"12","Parabacteroides unclassified","Alistipes putredinis",-0.142486514577084,0.25331648030656,0.00526869534531335,"P. unclassified","A. putredinis",0.142486514577084,-0.14,"Neg"
"13","Roseburia inulinivorans","Alistipes putredinis",-0.136884856271471,0.289451847199205,0.00627645167387655,"R. inulinivorans","A. putredinis",0.136884856271471,-0.14,"Neg"
"14","Subdoligranulum unclassified","Alistipes putredinis",0.12132530846728,0.708845810426279,0.027917952711087,"S. unclassified","A. putredinis",0.12132530846728,0.12,"Pos"
"15","Alistipes putredinis","Alistipes shahii",0.276168196588166,0.00615171731882699,1.63338816653029e-05,"A. putredinis","A. shahii",0.276168196588166,0.28,"Pos"
"16","Bacteroides plebeius","Alistipes shahii",0.101488481941087,0.772136647308486,0.0310940535121356,"B. plebeius","A. shahii",0.101488481941087,0.1,"Pos"
"17","Bacteroides uniformis","Alistipes shahii",0.150611700045869,0.624932390571454,0.0218475081510538,"B. uniformis","A. shahii",0.150611700045869,0.15,"Pos"
"18","Escherichia unclassified","Alistipes shahii",-0.122561803003733,0.293890122955247,0.00676285565456589,"E. unclassified","A. shahii",0.122561803003733,-0.12,"Neg"
"19","Parabacteroides unclassified","Alistipes shahii",-0.10478047963206,0.429787270331467,0.0114116011042365,"P. unclassified","A. shahii",0.10478047963206,-0.1,"Neg"
"20","Subdoligranulum unclassified","Alistipes shahii",0.240562258443218,0.095712776543691,0.00114360346583537,"S. unclassified","A. shahii",0.240562258443218,0.24,"Pos"
"21","Alistipes onderdonkii","Bacteroides caccae",0.13966248423594,0.609798586704406,0.0221279942378061,"A. onderdonkii","B. caccae",0.13966248423594,0.14,"Pos"
"22","Alistipes putredinis","Bacteroides caccae",0.19326238860789,0.143231231152919,0.00247197523628701,"A. putredinis","B. caccae",0.19326238860789,0.19,"Pos"
"23","Bacteroides stercoris","Bacteroides caccae",0.113979048398881,0.399899635531724,0.010087130693641,"B. stercoris","B. caccae",0.113979048398881,0.11,"Pos"
"24","Faecalibacterium prausnitzii","Bacteroides caccae",-0.139278039326862,0.55236746706124,0.0156440735708131,"F. prausnitzii","B. caccae",0.139278039326862,-0.14,"Neg"
"25","Parabacteroides merdae","Bacteroides caccae",0.152388057217398,0.733115690048395,0.0291982489789794,"P. merdae","B. caccae",0.152388057217398,0.15,"Pos"
"26","Ruminococcus bromii","Bacteroides caccae",-0.117545991097208,0.575112691317657,0.0183242931832005,"R. bromii","B. caccae",0.117545991097208,-0.12,"Neg"
"27","Bacteroides fragilis","Bacteroides dorei",0.164424811553161,0.225162273003719,0.00418491554875972,"B. fragilis","B. dorei",0.164424811553161,0.16,"Pos"
"28","Bacteroides ovatus","Bacteroides dorei",0.111545178217504,0.432318722870928,0.0110961883951909,"B. ovatus","B. dorei",0.111545178217504,0.11,"Pos"
"29","Bifidobacterium adolescentis","Bacteroides dorei",-0.120556498209155,0.874670576923088,0.0371584452513384,"B. adolescentis","B. dorei",0.120556498209155,-0.12,"Neg"
"30","Prevotella copri","Bacteroides dorei",-0.146698544510653,0.622702573742879,0.02287181012172,"P. copri","B. dorei",0.146698544510653,-0.15,"Neg"
